naziv;opis;tip_ustanove;maticna_skola;sifra;podsifra;zupanija;adresa;mjesto;lokacija;ravnatelj;telefon;faks;e_mail;web;podrucni_objekti
OSNOVNA ŠKOLA DONJA STUBICA;Osnovna škola;Matična škola;NA;02-014-001;0-0;Krapinsko-zagorska;TOPLIČKA 27;49240  Donja Stubica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sonja  Martinek;049/286-201 , 049/286-201 , 049/286-802 , 049/287-723;049/286-201;ured1@os-donja-stubica.skole.hr;www.os-donja-stubica.skole.hr;  OSNOVNA ŠKOLA DONJA STUBICA - Područna škola Lepa Ves   , Lepa Ves 17, 49240 Lepa Ves ,   OSNOVNA ŠKOLA DONJA STUBICA - Područna škola Vučak   , Vučak 20, 49221 Bedekovčina
Osnovna škola Vladimir Bosnar Stubičke Toplice;Osnovna škola;Matična škola;NA;02-014-004;0-0;Krapinsko-zagorska;STRMEČKA CESTA 5 A;49244  Stubičke Toplice; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Brigitte  Gmaz;049/282-531,098-613-599 , 049/283-681, 095/9103726 , 049/283-683 , 049/283-682 ;-;skola@os-stubicke-toplice.skole.hr;www.os-stubicke-toplice.skole.hr;NA
Osnovna škola Antuna Mihanovića;Osnovna škola;Matična škola;NA;02-035-001;0-0;Krapinsko-zagorska;ULICA LIJEPE NAŠE 41;49290  Klanjec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Melita  Ulama;049/550-332 , 049/550-332 , 049/550-332;049/550-665;skola@os-amihanovica-klanjec.skole.hr;os-amihanovica-klanjec.skole.hr;  Osnovna škola Antuna Mihanovića - Područna škola Lučelnica   , Lučelnica Tomaševečka 32, 49290 Lučelnica Tomaševečka
Osnovna škola Augusta Cesarca, Krapina;Osnovna škola, Umjetnička škola;Matična škola;NA;02-040-001;0-0;Krapinsko-zagorska;IVANA VRENCEA 1;49000  Krapina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Matilda  Juričev Žigman;049/371-004 , 049/371-004 , 049/371-484;049/373-409;mjuricev65@gmail.com , ured@os-acesarca-kr.skole.hr ;http://www.os-acesarca-kr.skole.hr/;  Osnovna škola Augusta Cesarca, Krapina - Područna škola Podgora   , Podgora Krapinska 139, 49000 Podgora Krapinska ,   Osnovna škola Augusta Cesarca, Krapina - Područna škola Škarićevo   , ŠKARIĆEVO 85, 49224 Škarićevo ,   Osnovna glazbena škola pri Osnovnoj školi Augusta Cesarca, Krapina   , ŠETALIŠTE PROF. IVANA VRENCEA 1, 49000 Krapina
Osnovna škola Ljudevit Gaj u Krapini;Osnovna škola;Matična škola;NA;02-040-002;0-0;Krapinsko-zagorska;TRG STJEPANA RADIĆA 1;49000  Krapina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vlatka  Družinec;049/370-618 , 049/370-618 , 049/373-702;049/354-233;ured@os-ljudevit-gaj-kr.skole.hr;NA;"  Osnovna Škola ""Ljudevit Gaj"" u Krapini - Područna škola Donja Šemnica   , Donja Šemnica 287, 49000 Krapina ,   Osnovna Škola ""Ljudevit Gaj"" u Krapini - Područna škola Lepajci   , LEPAJCI 22, 49000 Krapina"
Osnovna škola Ksavera Šandora Gjalskog;Osnovna škola, Umjetnička škola;Matična škola;NA;02-097-001;0-0;Krapinsko-zagorska;ĐAČKI PUT 1;49210  Zabok; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tomislav  Polanović;049/221-050 , 049/221-050 , 049/500-639 , 049/500641;049/223-623;ured@os-ksaver-sandor-djalski-zabok.skole.hr;NA;  Osnovna škola Ksavera Šandora Gjalskog - Područna škola Martinišće   , Martinišće 8b, 49210 Martinišće ,   Osnovna škola Ksavera Šandora Gjalskog - Područna škola Špičkovina   , ŠPIČKOVINA 63, 49210 Špičkovina
Osnovna škola Zlatar Bistrica;Osnovna škola;Matična škola;NA;02-110-001;0-0;Krapinsko-zagorska;Vladimira Nazora 10;49247  Zlatar-Bistrica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Jasna  Kokot Pelko;500-432 , 049/461-749 , 049/461-749;049/503-066;ured@os-zlatar-bistrica.skole.hr;http://www.os-zlatar-bistrica.skole.hr/;NA
OSNOVNA ŠKOLA JANKA LESKOVARA;Osnovna škola;Matična škola;NA;02-123-001;0-0;Krapinsko-zagorska;Dragutina Kunovića 8;49218  Pregrada; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zdravka  Žiger;049/301-217 , 049 376114;049/377-522;ured.ospregrada@skole.hr;http://os-pregrada.skole.hr/;  OSNOVNA ŠKOLA JANKA LESKOVARA - Područna škola Benkovo   , BENKOVO 30, 49218 Benkovo ,   OSNOVNA ŠKOLA JANKA LESKOVARA - Područna škola Gorjakovo   , GORJAKOVO 98, 49218 Gorjakovo ,   OSNOVNA ŠKOLA JANKA LESKOVARA - Područna škola Kostel   , KOSTEL 7, 49218 Kostel ,   OSNOVNA ŠKOLA JANKA LESKOVARA - Područna škola Sopot   , SOPOT 74, 49218 Sopot ,   OSNOVNA ŠKOLA JANKA LESKOVARA - Područna škola Stipernica   , STIPERNICA 11, 49218 Stipernica
OSNOVNA ŠKOLA BEDEKOVČINA;Osnovna škola;Matična škola;NA;02-167-001;0-0;Krapinsko-zagorska;GAJEVA 13;49221  Bedekovčina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivan  Paradi;049/588-222 , 049/588-222 , 049/588200 , 049/588-202;049/588220;ravnatelj@os-bedekovcina.skole.hr , osb-racunovodstvo@kr.t-com.hr , osb-pedagog@kr.t-com.hr , osb-ravnatelj@kr.t-com.hr , ivan.paradi@skole.hr , os-bedekovcina@kr.htnet.hr  , osb-tajnik@kr.t-com.hr;http://os-bedekovcina.skole.hr/;  OSNOVNA ŠKOLA BEDEKOVČINA - Područna škola Poznanovec   , ZAGORSKE BRIGADE 37, 49222 Poznanovec
Osnovna škola Stjepana Radića Brestovec Orehovički;Osnovna škola;Matična škola;NA;02-167-002;0-0;Krapinsko-zagorska;BRESTOVEC OREHOVIČKI 40;49228  Brestovec Orehovički; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zdenko  Kobeščak;049/238-149;049/238-250;ravnatelj@os-sradica-brestovec.skole.hr , os.stjepana.radica.brestovec.orehovicki@kr.t-com.hr , os-s.radica@kr.t-com.hr , ured@os-sradica-brestovec.skole.hr;http://os-sradica-brestovec.skole.hr/;  Osnovna škola Stjepana Radića Brestovec Orehovički - Područna škola Orehovica   , OREHOVICA 24, 49228 Orehovica
Osnovna škola VLADIMIR NAZOR BUDINŠČINA;Osnovna škola;Matična škola;NA;02-168-001;0-0;Krapinsko-zagorska;Budinščina 18c;49284  Budinšćina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Renata  Kreber-Mikšaj;049/459-113 , 049/459-113 , 049/459-113 , 049/459-308;049/459-113;ured@os-vnazor-budinscina.skole.hr;http://os-vnazor-budinscina.skole.hr/;  Osnovna škola VLADIMIR NAZOR BUDINŠĆINA - Područna škola Hrašćina   , TRGOVIŠĆE bb, 49283 Trgovišće
CENTAR ZA ODGOJ I OBRAZOVANJE ZAJEZDA;Osnovna škola, Srednja škola;Matična škola;NA;02-168-002;0-0;Krapinsko-zagorska;ZAJEZDA 31;49284  Zajezda; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Denis  Sušac;049/459-002 , 049 458-115 , 049 458-246;049 301-773;zajezda@kr.t-com.hr;NA;NA
OSNOVNA ŠKOLA ĐURE PREJCA DESINIĆ;Osnovna škola;Matična škola;NA;02-169-001;0-0;Krapinsko-zagorska;RATKAJEVA 8;49216  Desinić; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Anica  Karažija;049343191 , 049343191 , 049343483 , 049300477;049343191;ured@os-djure-prejca-desinic.skole.hr;NA;  OSNOVNA ŠKOLA ĐURE PREJCA DESINIĆ - Područna škola Velika Horvatska   , Velika Horvatska bb, 49216 Velika Horvatska ,   OSNOVNA ŠKOLA ĐURE PREJCA DESINIĆ - Područna škola Vinagora   , VINAGORA 7, 49218 Vinagora
OSNOVNA ŠKOLA ĐURMANEC;Osnovna škola;Matična škola;NA;02-170-001;0-0;Krapinsko-zagorska;ĐURMANEC 49;49225  Đurmanec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Krešimir  Kralj;049/346-003 , 049/346-003;049/346-003;ured@os-djurmanec.skole.hr;www.os-djurmanec.skole.hr;  OSNOVNA ŠKOLA ĐURMANEC - Područna škola Hromec   , HROMEC 49, 49225 Hromec ,   OSNOVNA ŠKOLA ĐURMANEC - Područna škola Macelj   , DONJI MACELJ 126, 49225 Donji Macelj ,   OSNOVNA ŠKOLA ĐURMANEC - Područna škola Putkovec   , PUTKOVEC 29, 49225 Putkovec
Osnovna škola Matije Gupca;Osnovna škola;Matična škola;NA;02-171-001;0-0;Krapinsko-zagorska;MATIJE GUPCA 2;49245  Gornja Stubica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sanja  Knezić;049/289-164 , 049/289-164 , 049/501-017 , 049/289-541;049/289-164;osmggs@os-mgupca-gornjastubica.skole.hr , ravnateljica@os-mgupca-gornjastubica.skole.hr;http://os-mgupca-gornjastubica.skole.hr/;  Osnovna škola Matije Gupca - Područna škola Dobri Zdenci   , Dobri Zdenci 24, 49245 Dobri Zdenci ,   Osnovna škola Matije Gupca - Područna škola Dubovec   , Dubovec 76, 49245 Dubovec ,   Osnovna škola Matije Gupca - Područna škola Hum Stubički   , Hum Stubički 47, 49245 Hum Stubički ,   Osnovna škola Matije Gupca - Područna škola Sveti Matej   , Sveti Matej 128, 49245 Sveti Matej
OSNOVNA ŠKOLA VIKTORA KOVAČIĆA;Osnovna škola;Matična škola;NA;02-172-001;0-0;Krapinsko-zagorska;HUM NA SUTLI 152/1;49231  Hum na Sutli; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Biserka  Špiljak;049/341-162 , 049/341-255 , 049/300-873, 300-874, 300-875;049/341-071;ured@os-vkovacica-humnasutli.skole.hr;http://www.os-vkovacica-humnasutli.skole.hr;  OSNOVNA ŠKOLA VIKTORA KOVAČIĆA - Područna škola Brezno   , Brezno Gornje 28, 49231 Gornje Brezno ,   OSNOVNA ŠKOLA VIKTORA KOVAČIĆA - Područna škola Druškovec   , Druškovec 97, 49231 Druškovec Humski ,   OSNOVNA ŠKOLA VIKTORA KOVAČIĆA - Područna škola Lupinjak   , Lupinjak 50, 49231 Lupinjak ,   OSNOVNA ŠKOLA VIKTORA KOVAČIĆA - Područna škola Prišlin   , Prišlin 2, 49231 Prišlin
Osnovna škola PAVLA ŠTOOSA;Osnovna škola;Matična škola;NA;02-174-001;0-0;Krapinsko-zagorska;Kraljevec na Sutli 125;49294  Kraljevec na Sutli; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivana  Kalamir Tomažin;049/554-086 , 049/554-021 , 049 554 750;049/503 287;skola@os-pstoosa-kraljevecnasutli.skole.hr;NA;  Osnovna škola PAVLA ŠTOOSA - Područna škola Radakovo   , RADAKOVO 53, 49294 Radakovo
Osnovna škola LIJEPA NAŠA;Osnovna škola;Matična škola;NA;02-175-001;0-0;Krapinsko-zagorska;TUHELJ 54;49215  Tuhelj; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Snježana  Romić;049/556-218 , 049/556-218 , 049/502-352 , 049/500-567;049/556-218;ured@os-lijepa-nasa-tuhelj.skole.hr;NA;NA
OSNOVNA ŠKOLA KONJŠČINA;Osnovna škola;Matična škola;NA;02-177-001;0-0;Krapinsko-zagorska;MATIJE GUPCA 6;49282  Konjščina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zoran  Vuger;049/465-116;049/465-716;ured@os-konjscina.skole.hr;NA;NA
OSNOVNA ŠKOLA KRAPINSKE TOPLICE;Osnovna škola;Matična škola;NA;02-178-001;0-0;Krapinsko-zagorska;ZAGREBAČKA 12;49217  Krapinske Toplice; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Samson  Štibohar;049/232-160 , 049/502-047 , 049/500-581,500-582;049/502-049;os-krapinske-toplice@kr.t-com.hr , skola@os-krapinske-toplice.skole.hr;www.os-krapinske-toplice.skole.hr;  OSNOVNA ŠKOLA KRAPINSKE TOPLICE - Područna škola Gregurovec   , GREGUROVEC 12, 49217 Gregurovec ,   OSNOVNA ŠKOLA KRAPINSKE TOPLICE - Područna škola Mala Erpenja   , MALA ERPENJA 141, 49217 Mala Erpenja
Centar za odgoj i obrazovanje Krapinske Toplice;Osnovna škola;Matična škola;NA;02-178-003;0-0;Krapinsko-zagorska;Ul. Ljudevita Gaja 2B;49217  Krapinske Toplice; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Antun  Zupanc;049/ 500-667;NA;ured@centar-krapinske-toplice-kr.skole.hr , ravnatelj@centar-krapinske-toplice-kr.skole.hr , pedagog@centar-krapinske-toplice-kr.skole.hr , ured@centar-krapinske-toplice-kr.skole.hr;http://centar-krapinske-toplice-kr.skole.hr/;NA
Osnovna škola Franje Horvata Kiša;Osnovna škola;Matična škola;NA;02-179-001;0-0;Krapinsko-zagorska;TRG SV. ANE 28;49253  Lobor; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tamara  Herceg Babić;049/430-020 ;049/430-020 ;ured@os-fhorvata-kisa-lobor.skole.hr;www.os-fhorvata-kisa-lobor.skole.hr;  Osnovna škola Franje Horvata Kiša - Područna škola Petrova Gora   , PETROVA GORA bb, 49253 Petrova Gora
Osnovna škola Mače;Osnovna škola;Matična škola;NA;02-180-001;0-0;Krapinsko-zagorska;MAČE 32;49251  Mače; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vladimir  Grudenić;049/466-584 , 049/466-584;NA;ured@os-mace.skole.hr;www.os-mace.com;  Osnovna škola Mače - Područna škola Peršaves   , PERŠAVES 59A, 49251 Peršaves
Osnovna škola Marija Bistrica;Osnovna škola, Umjetnička škola;Matična škola;NA;02-181-001;0-0;Krapinsko-zagorska;Zagrebačka 15;49246  Marija Bistrica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dominik  Karajić;049/469-161 , 049/469-161 , 049/468-548 , 049/469-161;NA;ured@os-marija-bistrica.skole.hr , dominik.karajic@skole.hr;NA;  Osnovna škola Marija Bistrica   - Područna škola Globočec   , GLOBOČEC BB, 49246 Globočec ,   Osnovna škola Marija Bistrica   - Područna škola Laz   , LAZ BISTRIČKI 180A, 49246 Laz Bistrički ,   Osnovna škola Marija Bistrica   - Područna škola Selnica   , SELNICA 46 A, 49246 Selnica
OSNOVNA ŠKOLA LJUDEVIT GAJ Mihovljan;Osnovna škola;Matična škola;NA;02-182-001;0-0;Krapinsko-zagorska;Mihovljan 49;49252  Mihovljan; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Alen  Vokas;049/435-420 , 049/435-420 , 049/300-910;049/435-420;os-mihovljan@os-ljgaj-mihovljan.hr , ured@os-ljudevit-gaj-mihovljan.skole.hr;NA;  OSNOVNA ŠKOLA LJUDEVIT GAJ Mihovljan - Područna škola Golubovec   , GORA VETERNIČKA 7, 49255 Gora Veternička ,   OSNOVNA ŠKOLA LJUDEVIT GAJ Mihovljan - Područna škola Gregurovec   , GREGUROVEC 71, 49252 Gregurovec
Osnovna škola Oroslavje;Osnovna škola;Matična škola;NA;02-183-001;0-0;Krapinsko-zagorska;ANTUNA MIHANOVIĆA 6;49243  Oroslavje; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sanja  Šakoronja;049/284-245 , 049/500-075 , 049/284-245 , 049/500-077;049/500-074;os-oroslavje@os-oroslavje.skole.hr , os-oroslavje@kr.t-com.hr;www.os-oroslavje.skole.hr;  Osnovna škola Oroslavje - Područna škola Krušljevo Selo   , KRUŠLJEVO SELO 112, 49243 Krušljevo Selo
Osnovna škola Antuna Mihanovića Petrovsko;Osnovna škola;Matična škola;NA;02-184-001;0-0;Krapinsko-zagorska;PETROVSKO 58 A;49234  Petrovsko; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Andrijana  Osredečki;0919750104 , 0919831335 , 049/300-932 , 049/300 717 , 049 300 930  , 049/300 717 , 049/300 931 , 049/348 186;049/348-187;skola@os-amihanovica-petrovsko.skole.hr;NA;  Osnovna škola Antuna Mihanovića Petrovsko - Područna škola Slatina   , Slatina Svedruška 38, 49234 Slatina Svedruška
OSNOVNA ŠKOLA SIDE KOŠUTIĆ RADOBOJ;Osnovna škola;Matična škola;NA;02-185-001;0-0;Krapinsko-zagorska;RADOBOJ 21;49232  Radoboj; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dražen  Gerić;049/349-143 , 049/349-143 , 049/349-371,349-428, 349-098;049/300-355;radoboj@os-skosutic-radoboj.skole.hr;NA;  OSNOVNA ŠKOLA SIDE KOŠUTIĆ RADOBOJ - Područna škola Jazvine   , Jazvine 49, 49232 Jazvine ,   OSNOVNA ŠKOLA SIDE KOŠUTIĆ RADOBOJ - Područna škola Gornja Šemnica   , GORNJA ŠEMNICA 64, 49232 Gornja Šemnica
OSNOVNA ŠKOLA SVETI KRIŽ ZAČRETJE;Osnovna škola;Matična škola;NA;02-187-001;0-0;Krapinsko-zagorska;ŠKOLSKA 5;49223  Sveti Križ Začretje; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dario  Šimag;049/227-968,228-071 , 049/227-968 , 091/3320130 , 049/228-390, 503-783;049/228-071;ured@os-sveti-kriz-zacretje.skole.hr;NA;  OSNOVNA ŠKOLA SVETI KRIŽ ZAČRETJE - Područna škola Mirkovec   ,  Brezova 1G, 49223 Sveti Križ Začretje ,   OSNOVNA ŠKOLA SVETI KRIŽ ZAČRETJE - Područna škola Sekirišće   , Sekirišće 25, 49223 Sveti Križ Začretje
Osnovna škola Veliko Trgovišće;Osnovna škola;Matična škola;NA;02-188-001;0-0;Krapinsko-zagorska;STJEPANA RADIĆA 27;49214  Veliko Trgovišće; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Diana  Duk-Petek;0917337783 , 049/236-290 , 049/236-290 , 049/237-399;049/236-290;ured@os-veliko-trgovisce.skole.hr;NA;  Osnovna škola Veliko Trgovišće - Područna škola Dubrovčan   , DUBROVČAN 130, 49214 Dubrovčan ,   Osnovna škola Veliko Trgovišće - Područna škola Strmec   , POŽARKOVEC 67, 49214 Požarkovec
Osnovna škola Ante Kovačića;Osnovna škola;Matična škola;NA;02-189-001;0-0;Krapinsko-zagorska;VLADIMIRA NAZORA 1;49250  Zlatar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marijan  Posarić;049/466-832 , 049/466-832 , 049/466-373;049/466-370; , ured@os-akovacica-zlatar.skole.hr;NA;  Osnovna škola Ante Kovačića - Područna škola Donja Batina   , Donja Batina 95, 49250 Donja Batina ,   Osnovna škola Ante Kovačića - Područna škola Martinšćina   , Martinščina 46/B, 49250 Martinšćina
Osnovna škola Belec;Osnovna škola;Matična škola;NA;02-189-002;0-0;Krapinsko-zagorska;BELEC 50;49254  Belec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nikolina  Puklin;049/460 124;049/460 240;os-belec@os-belec.skole.hr , osmorazredna-skola-belec@kr.t-com.hr;http://os-belec.skole.hr/;NA
Osnovna škola GORNJE JESENJE;Osnovna škola;Matična škola;NA;02-552-001;0-0;Krapinsko-zagorska;GORNJE JESENJE 78;49233  Gornje Jesenje; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ljerka  Malogorski Dragoslavić;049/375-012;049/375-012;os-gornje-jesenje@kr.t-com.hr , ured@os-gornje-jesenje.skole.hr;NA;NA
Osnovna škola Josipa Broza;Osnovna škola;Matična škola;NA;02-553-001;0-0;Krapinsko-zagorska;Antuna Mihanovića 8;49295  Kumrovec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Maja  Preglej;049/553-169 , 049/553-169/11 , 049/501-443 , 049/500-207;049/501-849;ured@os-josipa-broza-kumrovec.skole.hr;NA;NA
Osnovna škola Dvor;Osnovna škola;Matična škola;NA;03-021-001;0-0;Sisačko-moslavačka;Ante Brune Bušića 5;44440  Dvor; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Klara  Pereković;044/871-830 , 044  871 831 , 044/871-326  , 044/871-095  , 044/871-650;NA;osnovna-skola-dvor@os-dvor.skole.hr;http://os-dvor.skole.hr/;NA
OSNOVNA ŠKOLA GLINA;Osnovna škola;Matična škola;NA;03-025-001;0-0;Sisačko-moslavačka;Dr.Ante Starčevića 1;44400  Glina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Robertina  Štajdohar;044-880-663 , 044-880-661 , 044-880-662 , 099-2334-095 , 044-880-678 , 044-880-679;044-882-174;os-glina@sk.t-com.hr , ured@os-glina.skole.hr;www.os-glina.skole.hr;  OSNOVNA ŠKOLA GLINA - Područna škola Viduševac   , Gornji Viduševac bb, 44400 Gornji Viduševac
OSNOVNA ŠKOLA DAVORINA TRSTENJAKA;Osnovna škola;Matična škola;NA;03-039-001;0-0;Sisačko-moslavačka;Školska 9;44430  Hrvatska Kostajnica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Medina  Omerović Pužar;044/851-099;NA;skola@os-dtrstenjaka-hrkostajnica.skole.hr;os-dtrstenjaka-hrkostajnica.skole.hr;  OSNOVNA ŠKOLA DAVORINA TRSTENJAKA - Područna škola  Graboštani   , Graboštani bb, 44430 Graboštani
OSNOVNA ŠKOLA BANOVA JARUGA;Osnovna škola;Matična škola;NA;03-043-001;0-0;Sisačko-moslavačka;STJEPANA RADIĆA 118;44321  Banova Jaruga; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sanja  Marčec;044/668-005;044/668-005;ured@os-banova-jaruga.skole.hr;https://os-banova-jaruga.site123.me/ , http://os-banova-jaruga.skole.hr/;  OSNOVNA ŠKOLA BANOVA JARUGA - Područna škola Jamarica   , JAMARICA, ĐUKE ČAIĆA 75, 44321 Jamarica ,   OSNOVNA ŠKOLA BANOVA JARUGA - Područna škola Janja Lipa   , JANJA LIPA, HRVATSKIH BRANITELJA 65, 44321 Janja Lipa ,   OSNOVNA ŠKOLA BANOVA JARUGA - Područna škola Međurić   , MEĐURIĆ, SLAVONSKA 53, 44321 Međurić ,   OSNOVNA ŠKOLA BANOVA JARUGA - Područna škola Zbjegovača   , ZBJEGOVAČA, ŠKOLSKA 91, 44321 Zbjegovača
OSNOVNA ŠKOLA MATE LOVRAKA;Osnovna škola;Matična škola;NA;03-043-002;0-0;Sisačko-moslavačka;CRKVENA 57;44320  Kutina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vedrana  Banda;044/683-277 , 044/660-101 , 044/660-103;044/683-277;skola@os-mate-lovraka-kt.skole.hr;www.os-mate-lovraka-kt.skole.hr;  OSNOVNA ŠKOLA MATE LOVRAKA - Područna škola Kutinska Slatina   , MATE LOVRAKA 2, 44320 Kutinska Slatina ,   OSNOVNA ŠKOLA MATE LOVRAKA - Područna škola Stupovača   ,  SELSKA 103, 44320 Stupovača
OSNOVNA ŠKOLA VLADIMIRA VIDRIĆA;Osnovna škola;Matična škola;NA;03-043-003;0-0;Sisačko-moslavačka;ŠKOLSKA 2;44320  Kutina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Snježana  Coha;044/682-325, 682-326 , 044/682-326;044/682-325;skola@os-vvidrica-kt.skole.hr;NA;NA
OSNOVNA ŠKOLA STJEPANA KEFELJE;Osnovna škola;Matična škola;NA;03-043-004;0-0;Sisačko-moslavačka;Nikole Tesle 1;44320  Kutina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivica  Petrović;044/660-850 , 044/660-853 , 044/660-860;044/660-869; skola@os-stjepana-kefelje-kt.skole.hr  ;http://os-stjepana-kefelje-kt.skole.hr/;  OSNOVNA ŠKOLA STJEPANA KEFELJE - Područna škola Mikleuška   , Garićka 43, 44320 Mikleuška ,   OSNOVNA ŠKOLA STJEPANA KEFELJE - Područna škola Repušnica   , LJUDEVITA GAJA 120, 44320 Repušnica
