naziv;osnivac;zupanija;adresa;mjesto;telefon;e_mail;podrucni_objekti
"Dječji vrtić ""Đakovo""";Grad Đakovo;Osječko-baranjska županija ;L.Botića 7/A;Đakovo;031/811-305;djecjivrticdakovo@gmail.com; OŠ Josipa Antuna Ćolnića, Trg Nikole Šubića Zrinskog 4, 31400 Đakovo ,  OŠ Budrovci - PO Đurđanci, Đurđanci, 31400 ĐURĐANCI ,  OŠ Piškorevci, Piškorevci, 31417 Piškorevci ,  OŠ Viškovci, Viškovci, 31401 Viškovci ,  OŠ Selci Đakovački, OŠ Selci Đakovački, 31415 SELCI ĐAKOVAČKI ,  OŠ Drenje - PO Potnjani, Potnjani, 31418 Potnjani ,  OŠ Gorjani - PO Tomašanci, Tomašanci, 31422 Tomašinci ,  PO Naselje vila, K.P.Krešimira 1, 31400 ĐAKOVO ,  PO I. Mažuranića 12, I.Mažuranića 12, 31400 Đakovo ,  OŠ Josipa Antuna Ćolnića - PO Kuševac, O.Š. J.ĆOLNIĆA  , PO KUŠEVAC, 31400 KUŠEVAC ,  OŠ Josipa Antuna Ćolnića - PO Široko Polje, Široko Polje, 31400 Široko Polje ,  OŠ Vladimir Nazor - PO Ivanovci, Ivanovci, 31400 Ivanovci ,  OŠ Budrovci, Budrovci, 31400 Budrovci ,  OŠ Trnava, Trnava, 31411 Trnava ,  OŠ Drenje, Drenje, 31418 Drenje ,  OŠ Silvije Strahimir Kranjčević, Levanjska Varoš, 31416 Levanjska Varoš ,  OŠ Gorjani, -GORJANI, 31422 -GORJANI ,  PO Piškorevci, J. J. Strossmayera 3,  
"Udruga ""Slagalica""";"Udruga za poticanje ranog razvoja dječjih sposobnosti ""Slagalica"" Đakovo";Osječko-baranjska županija ;Bartola Kašića 6;Đakovo;0915631267;ambra.rene@gmail.com;NA
Dječji vrtić Vrapčić;OPĆINA GOLA, ĐELEKOVEC,  KOPRIVNIČKI IVANEC, KOPRIVNIČKI BREGI;Koprivničko-križevačka županija ;Mihovila Pavleka Miškine 1;Đelekovec;048-831-492;dv.vrapcic5@optinet.hr; PO Ivančica Koprivnički Ivanec u OŠ Koprivnički Ivanec, Koprivnička 27, 48314 Koprivnički Ivanec ,  PO Bambi u OŠ Ždala, Braće Radića bb, 48332 Ždala ,  PO Iskrica u OŠ Đelekovec, Mirka Viriusa 28, 48316 Đelekovec ,  PO Zvončić Gola , Trg k.A.Stepinca 4a, 48331 Gola ,  PO Potočić u OŠ Koprivnički Bregi, Trg sv. Roka 2, 48324 Koprivnički Bregi ,  PO Zvončica, Trg kardinala Alojzija Stepinca 6A,  
"Dječji vrtić ""Sunce""";Općina Đulovac;Bjelovarsko-bilogorska županija ;Josipa Jelačića 1a;Đulovac;043/382-028;dvsunce.djulovac@gmail.com;NA
"Dječji vrtić ""Jaglac""";Općina Đurđenovac , OPĆINA ĐURĐENOVAC;Osječko-baranjska županija ;Ulica Alojzija Stepinca 3;Đurđenovac;031/601-614   -    0976218846;"djecji.vrtic.jaglac@os.t-com.hr; djecji.vrtic.jaglac@gmail.com";NA
"Dječji vrtić ""Maslačak""";Grad Đurđevac;Koprivničko-križevačka županija ;Tina Ujevića 1;Đurđevac;048/812-203, 811-703,;vrtic.maslacak@djurdjevac.hr;NA
Dječji vrtić Đurmanec;NA;Krapinsko-zagorska županija ;Đurmanec 49A;Đurmanec;049 346-346; vrtic@djurmanec.hr;NA
"Dječji vrtić ""Ogledalce""";Općina Ernestinovo;Osječko-baranjska županija ;Školska 4;Ernestinovo;031/ 216-332;ravnateljica.dv.ogledalce@gmail.com; PO Laslovo, Kolodvorska 5,  
"Dječji vrtić ""Crvenkapica"" Farkaševac";OPĆINA FARKAŠEVAC;Zagrebačka županija ;Farkaševac 30 A;Farkaševac;01/2820971;vrtic@dv-crvenkapica.opcina-farkasevac.hr;NA
Dječji vrtić MORE;Ljiljana Radolović;Istarska županija ;Pineta 17, Valbandon;Fažana; 091 4712364 ili 091 9063368;djecjivrticmore@gmail.com;NA
"Dječji vrtić ""Sunce""";OPĆINA FAŽANA;Istarska županija ;PULJSKA CESTA 7;Fažana;052 521-123, 052 520-897;ravnateljica@dvsuncefazana.hr, tajnik@dvsuncefazana.hr, djecji.vrtic.sunce1@pu.t-com.hr;NA
"Dječji vrtić ""Košutica""";Općina Ferdinandovac;Koprivničko-križevačka županija ;Trg slobode 36;Ferdinandovac;048/817-660;dv.kosutica@gmail.com;NA
"Dječji vrtić ""Snježna pahulja""";Općina Fužine , Općina Fužine;Primorsko-goranska županija ;Donje selo 29a;Fužine;0916137846;dv.snjezna.pahulja@gmail.com;NA
"Dječji vrtić ""Latica Garčin""";Općina Garčin;Brodsko-posavska županija ;Put Surevice 4;Garčin;035/ 351 - 877, 099/ 499-9935;latica.garcin@gmail.com;NA
Program predškole pri OŠ Trnovitički Popovac;Grad Garešnica;Bjelovarsko-bilogorska županija ;Trnovitički Popovac 80;Garešnica;043/542-900, 098/730-185;ured@os-trnoviticki-popovac.skole.hr  ;NA
"Dječji vrtić ""Maslačak""";Grad Garešnica;Bjelovarsko-bilogorska županija ;Ulica kralja Tomislava 18;Garešnica;043/235-365;djecji.vrtic.maslacak@bj.t-com.hr; PO Garešnički Brestovec, Radnička ulica bb, 43280 Garešnički Brestovac ,  PO Hercegovac, Braća Petr 2, 43284 Hercegovac
Dječji vrtić Bubamara Glina;Grad Glina , Grad Glina;Sisačko-moslavačka županija ;Frankopanska 33;Glina;044/882-228;"vrtic.glina@gmail.com; ";NA
Program predškolskog odgoja pri OŠ Skrad;Općina Skrad;Primorsko-goranska županija ;Školska 2;Gorica Skradska;051/810-695;os-skrad@os-skrad.skole.hr;NA
"Dječji vrtić ""Ružica""";Ružica Horvat;Međimurska županija ;Školska 14;Goričan;040/601-642,  098 -181 9674;vrticruzica@hotmail.com;NA
"PO pri OŠ ""Sidonije Rubido Erdody""";OPĆINA GORNJA RIJEKA;Koprivničko-križevačka županija ;Jablanova 1;Gornja Rijeka;048/855-002;"os.sidonije.rubido.erddy.gornja.rijeka@kc.t-com.hr; darko.zvonar@kc.t-com.hr"; PO HIŽANOVEC, Hižanovec, 48269 Hižanovec ,  PŠ KOLAREC, Kolarec 85, 48268 Kolarec
Program predškolskog odgoja pri OŠ Matije Gupca Gornja Stubica;OPĆINA GORNJA STUBICA;Krapinsko-zagorska županija ;Matije Gupca 2;Gornja Stubica;049 289 164;osmggs@os-mgupca-gornjastubica.skole.hr; PO Sveti Matej, Sveti Matej 128, 49245 Gornja Stubica ,  PO Dobri Zdenci, Dobri Zdenci 24, 49245 Gornja Stubica ,  PO Dubovec, Dubovec 47, 49245 Gornja Stubica ,  PO Hum Stubički, Hum Stubički 47, 49245 Gornja  Stubica
"Dječji vrtić ""Jurek"" ";NA;Krapinsko-zagorska županija ;Novo naselje 4;Gornja Stubica;049 553 084;djecjivrticjurek@djecjivrticjurek.hr;NA
DJEČJI VRTIĆ BUBAMARA GORNJE BAZJE;Općina Lukač , Općina Lukač;Virovitičko-podravska županija ;GORNJE 131A;Gornje Bazje; 033/551-041;dv-bubamara@opcina-lukac.hr;NA
"Dječji vrtić ""Bubamara""";OPĆINA GORNJI KNEGINEC;Varaždinska županija ;Ulica učitelja Vjekoslava Kezele 8;Gornji Kneginec;042/690-661;bubamara.kneginec1@gmail.com; PO LUŽAN BIŠKUPEČKI, Pri gori  1, 42204 LUŽAN BIŠKUPEČKI
Dječji vrtić Sovice;Općina Gornji Mihaljevec;Međimurska županija ;Gornji Mihaljevec 74;Gornji Mihaljevec; 040/899-105, 0989422865;dv.sovice@gmail.com;NA
"Dječji vrtić ""Zvončić""";općina Poličnik , OPĆINA POLIČNIK;Zadarska županija ;Ulica Petra Krešimira IV. 2;Gornji Poličnik;023/354-193;d.v.zvoncic@zd.t-com.hr; PO Briševo, Ulica dr. Franje Tuđmana 2, 23000 Briševo-Murvica ,  PO Zvončica, Ul. dr. Franje Tuđmana 62,  
"Dječji vrtić ""Pahuljica""";Grad Gospić;Ličko-senjska županija ;Žabička ulica 4;Gospić;"053/572-843; 573-122";tajnistvo@djecji-vrtic-pahuljica.hr; PO Karlobag, B.I.Karlovića bb, 53288 Karlobag ,  PO Lički Osik, Riječka bb, 53201 Lički Osik ,  PO Perušić, Hrvatske mladeži bb, 53202 Perušić
"Dječji vrtić ""Baltazar""";Općina Gračac;Zadarska županija ;Školska 8;Gračac;023/773-577;dj.vrtic.baltazar.gracac@zd.t-com.hr;NA
"Dječji vrtić ""Gradac""";Općina Gradac ;Splitsko-dalmatinska županija ;Jadranska cesta 107a;Gradac;021/697-520;dvgradac@gmail.com; PO Mali Princ, Donja vala 129, 21333 Drvenik
"Dječji vrtić ""DIN-DON"" Gradec";Općina Gradec;Zagrebačka županija ;Gradec 97;Gradec;0981737727;djecjivrtic.gradec@gmail.com;NA
"DJEČJI VRTIĆ "" KRIJESNICA GRADINA "" GRADINA";OPĆINA GRADINA;Virovitičko-podravska županija ;Trg kralja Zvonimira 6 ;Gradina;033/561-256;krijesnica.gradina@gmail.com;NA
Osnovna škola Gradina;Općina Gradina;Virovitičko-podravska županija ;Trg kralja Zvonimira 9;Gradina;033/784 150, 784 159;ured@os-gradina.skole.hr;NA
Mali svijet Gradište;Općina Gradište;Vukovarsko-srijemska  županija ;Trg hrvatskih velikana 36;Gradište;0994182577;vrtic.malisvijet@gmail.com;NA
"Dječji vrtić ""Tratinčica""";GRAD GRUBIŠNO POLJE , GRAD GRUBIŠNO POLJE;Bjelovarsko-bilogorska županija ;Ul. I. N. jemeršića 10a;Grubišno Polje;043/485063;tratincicagrubisnopolje@net.hr; PO Veliki Zdenci, TRG KRALJA TOMISLAVA, 43293 VELIKI ZDENCI
OŠ Antuna i Stjepana Radića;Općina Gunja;Vukovarsko-srijemska  županija ;Miroslava Krleže 2;Gunja;032 881 115;ured@os-antunistjepanradic-gunja.skole.hr;NA
"Dječji vrtić ""Sretno dijete""";Općina Hrvace;Splitsko-dalmatinska županija ;Hrvace  309A;Hrvace;021 829 035;sretno.dijete.hrvace@st.t-com.hr;NA
Program predškolskog odgoja pri Osnovnoj školi Ivo Kozarčanin Hrvatska Dubca;OŠ Ivo Kozarčanin u Hrvatskoj Dubici;Sisačko-moslavačka županija ;Park žrtava Domovinskog rata 1;Hrvatska Dubica;44 525 540, 525 541;ured@os-ikozarcanin-hrvatskadubica.skole.hr;NA
"Dječji vrtić ""Krijesnica""";Grad Hrvatska Kostajnica;Sisačko-moslavačka županija ;Vladimira Nazora 40;Hrvatska Kostajnica;044/851-304;vrtic-krijesnica@sk.htnet.hr;NA
"DV ""Leteći Medvjedići""";Ustanova za predškolski odgoj i obrazovanje , KOLAMBI ROSHI;Grad Zagreb;Mirka Bedeka 75d;Hrvatski Leskovac;01/6578-784;info@vrtic-letecimedvjedici.hr; PO Klinča Sela, Karlovačka 9, 10450 Klinča Sela ,  PO Bubamara, Budimska 20,  
"Dječji vrtić ""Hrvatski Leskovac""";Grad Zagreb , ;Grad Zagreb;Potočna 9;Hrvatski Leskovac;01/6578-945, 6578-039;vrtic.hrvatskileskovac@zagreb.hr; PO ZVONČIĆI, Karlovačka 65h, 10020 Novi Zagreb ,  PO Brezovica, Brezovička cesta 98, 10257 Brezovica ,  PO Vretence, Hrastovička 1a, 10250 Lučko ,  PO OŠ Lučko, Puškarićeva 39,   ,  PO Potočić, Šipkovina 5,  
"Društvo sportske rekreacije ""SUPERKID""";NA;Grad Zagreb;Drežnik III. odvojak 21, ;Hudi Bitek;0995176644;info@superkid.hr;NA
"Dječji vrtići ""Balončica""";Općina Hum na Sutli;Krapinsko-zagorska županija ;Hum na Sutli 156;Hum na Sutli;049 341-143;ravnateljica@djecji-vrtic-baloncica.hr; PO Prišlin, Prišlin 1,  
SPORTSKO DRUŠTVO KU-KU-RI-KU;NA;Krapinsko-zagorska županija ;HUM ZABOČKI 29a;Hum Zabočki;099 678 6686        ;mislav.kukuriku@gmail.com;NA
"Dječji vrtić ""Vanđela Božitković""";Grad Hvar , Grad Hvar;Splitsko-dalmatinska županija ;Ul. Hanibala Lucića 3;Hvar;021/742-833    021/741-837;ravnateljica.vrtichvar@gmail.com; PO Hanibala Lucića, Hanibala Lucića 3,  
Program predškole pri Osnovnoj školi Ilača-Banovci;Općina Nijemci;Vukovarsko-srijemska  županija ;Vladimira Nazora 24;Ilača;"032/521-994 ;  032/521-039";ured@os-ilaca-banovci.skole.hr; PŠ Banovci, M. Tita 45,  
"Dječji vrtić ""Crvenkapica""";Grad Ilok , GRAD ILOK;Vukovarsko-srijemska  županija ;Trg sv. I. Kapistran;Ilok;032/591-019;"anka.d.v.crvenkapica@gmail.com; ravnateljica@dv-crvenkapica-ilok.hr"; PO Bapska, Stjepana Radića 11, 32235 Bapska ,  PO Šarengrad, S. Radića 67, 32234 Šarengrad
"DV ""Potočić""";Općina Jalžabet , Općina Jalžabet;Varaždinska županija ;Potok 16.;Imbriovec Jalžabetski;042/ 647 016;djecji.vrtic.potocic@vz.t-com.hr;NA
"Dječji vrtić ""Imotski""";Grad Imotski;Splitsko-dalmatinska županija ;Ulica Fra Stjepana Vrljića 15;Imotski;021/843-310;djecji.vrtic.imotski@st.t-com.hr; PO Proložac, PROLOŽAC DONJI, 21264 PROLOŽAC DONJI ,  PO Vinjani Donji, Vinjani Donji bb, 21260 Imotski
"Dječji vrtić ""Loptica""";Marija Kukulj;Splitsko-dalmatinska županija ;Brune Bušića bb;Imotski;021/842-300;dvrticloptica@gmail.com;NA
"Dječji vrtić ""Ivančice""";Grad Ivanec , Grad Ivanec;Varaždinska županija ;Akademika Ladislava Šabana 19;Ivanec;042/782-328;ravnatelj@vrtic-ivancice.hr; PO Radovan , Varaždinska 14,  
"Dječji vrtić ""Ivanić Grad""";Grad Ivanić Grad;Zagrebačka županija ;Park hrvatskih branitelja 3;Ivanić-Grad;012889-299;ravnatelj.vrtic.ivanic@gmail.com; PO Livada, Milke Trnine 2, 10310 Žeravinec ,  PO Tratinčica, Savska 69/d, 10311 Posavski Bregi ,  PO Sunce, Augusta Šenoe 11, 10313 Graberje Ivanićko ,  PO Josipa Kelšina , Ulica Josipa Kelšina 11, 10310 Ivanić-Grad ,  PO Tvornica smijeha, Šiftarova 1a,  
Dječji vrtić Roda;MAJA RODIĆ ŠKONDRO , MAJA RODIĆ ŠKONDRO;Zagrebačka županija ;Vulinčeva 1;Ivanić-Grad;01/3885328;dv.roda.ivg@gmail.com;NA
"Udruga ""TVORNICA SMIJEHA""";Ivana Vlahek;Zagrebačka županija ;Kralja Tomislava 25;Ivanić-Grad;091881 8931, 091 7202 404;"vlahek.ivana@gmail.com; info@tvornica-smijeha.hr";NA
Dječji vrtić Ivankovo;općina Ivankovo , Općina Ivankovo;Vukovarsko-srijemska  županija ;Rojičani 85a;Ivankovo;032/443654   ;ravnatelj.dvivankovo@gmail.com   ; PO Pčelica, J.J. Strossmayera 19a,   ,  PO Maslačak, Vatrogasna 2,  
"Dječji vrtić ""Ivančica""";Općina Ivanska , ;Bjelovarsko-bilogorska županija ;Petra Preradovića 2;Ivanska;043/887-129, 0994669846;djecji.vrtic.ivancica1@bj.t-com.hr;NA
"Dječji vrtić ""Jakšić""";Općina Jakšić , OPĆINA JAKŠIĆ;Požeško-slavonska županija ;Stjepana Radića 1;Jakšić;034/ 273 614;dvjaksic@gmail.com;NA
Dječji vrtić „Jarmina“ Jarmina ;NA;Vukovarsko-srijemska  županija ;J.J.Strossmayera 80;Jarmina;032/ 450-201;dv.jarmina@gmail.com  ;NA
Program predškole pri OŠ Petra Zoranića;OPĆINA JASENICE;Zadarska županija ;Ul.Petra Zoranića 2,;Jasenice;023655621,023655380;ospzoranicajasenice@os-pzoranic-jasenice.skole.hr;NA
Program predškolskog odgoja pri Osnovnoj školi Jasenovac;Osnovna škola Jasenovac;Sisačko-moslavačka županija ;Trg Petra Svačića 6;Jasenovac;044/672 096;os-jasenovac@os-jasenovac.skole.hr;NA
"Dječji vrtić ""Radost""";Grad Jastrebarsko;Zagrebačka županija ;Braće Radića 10;Jastrebarsko;6281-241;djecji.vrtic.radost1@zg.t-com.hr; PO Radost 2, Tome Bakača Erdodya bb, 10450 Jastrebarsko ,  PO Desinec-Radost 3, Mladinska 2/a, 10450 JASTREBARSKO ,  PO Cvetković - Radost 4, CVETKOVIĆ 123, 10450 JASTREBARSKO ,  PO Gorica Svetojanska - Radost 5, GORICA SVETOJANSKA 13, 10450 JASTREBARSKO
"Dječji vrtić ""Jelsa""";OPĆINA JELSA;Splitsko-dalmatinska županija ;Jelsa 194;Jelsa;021/761-266;djecji.vrtic.jelsa@st.t-com.hr; PO Svirče, SVIRČE, 21462 SVIRČE ,  PO Vrboska, Riva b.b., 21463 VRBOSKA
"Dječji vrtić ""Josipdol""";Općina Josipdol;Karlovačka županija ;Karlovačka 17 b;Josipdol;047/581-275;kontakt@dv-josipdol.hr; PO Oštarije, Oštarije 227,  
"Program predškole pri OŠ ""Josip Kozarac"" Josipovac Punitovački";Općina Punitovci - (OIB 75515406575);Osječko-baranjska županija ;Brače Banas 2;Josipovac Punitovački;031 861 309;opcina.punitovci@os.t-com.hr;NA
"Dječji vrtić ""Srdelica""";Općina Kali;Zadarska županija ;Sv. Lovre 16;Kali;023/281-805;djecji.vrtic.srdelica.kali@zd.t-com.hr;NA
"Dječji vrtić ""Bubamara""";Općina Kalinovac , Općina Kalinovac;Koprivničko-križevačka županija ;Dravska 8;Kalinovac;048 883 273;djecji.vrtic.bubamara@kc.t-com.hr;NA
"Dječji vrtić ""Kalnički jaglac""";Life Kalnik d.o.o. za usluge;Koprivničko-križevačka županija ;Trg Stjepana Radića 9;Kalnik;048857012;ravnatelj@kalnicki-jaglac.com.hr;NA
"Dječji vrtić ""Kamanje""";NA;Karlovačka županija ;Kamanje 105;Kamanje;047/642-288;dv-kamanje@kamanje.hr;NA
Program predškole pri OŠ Mirka Pereša;Županija Bjelovarsko-bilogorska i Općina Kapela;Bjelovarsko-bilogorska županija ;1. svibnja 2;Kapela;043 884 990;ured@os-mperesa-kapela.skole.hr;NA
"Dječji vrtić ""Bambi"" Kaptol";Općina Kaptol;Požeško-slavonska županija ;Češka ulica 8;Kaptol;034/231 592;vrtic@opcina-kaptol.com;NA
LINGUA CENTAR d.o.o.;Zdenka Vučković-Diklić;Karlovačka županija ;Dr. Vladka Mačeka 28;Karlovac;047 421 800;lingua-centar@lingua-centar.hr;NA
Dječji vrtić Četiri rijeke;Grad Karlovac;Karlovačka županija ;Grge Tuškana 9 a;Karlovac;047 659 001;ravnateljica@vrtic-cetiririjeke.hr; PO Dubovac, Kupska 8, 47000 Karlovac ,  PO Švarča, Ivice Gojaka 4, 47000 Kalovac ,  PO Turanj, Turan 20,   ,  PO Mahićno, Mahićno 122A,  
Centar za odgoj i obrazovanje djece i mladeži;grad Karlovac;Karlovačka županija ;Banija 24;Karlovac;047/648 -395;coodm@centar-odgojiobrazovanje-djeceimladezi-ka.skole.hr;NA
"Dječji vrtić ""Tintilinić""";Ljiljana Mihalić;Karlovačka županija ;Bogoslava Šuleka 13;Karlovac;047/413-166;dv.tintilinic@gmail.com;NA
"Dječji vrtić ""Karlovac""";Grad Karlovac;Karlovačka županija ;Ulica Imbre Tkalca 2;Karlovac;047/631-466;tajnistvo@vrtic-karlovac.hr; PO Grabrik, Bartola Kašića 17, 47000 Karlovac ,  PO Novi centar, Smičiklasova 23, 47000 Karlovac ,  PO Banija, Obala Račkog 8,  
"Dječji vrtić ""Vladimir Nazor""";Grad Kastav;Primorsko-goranska županija ;Skalini Istarskog tabora 1;Kastav;051/829-360;ravnateljica@vrtic-kastav.com; PO Mavrica-Engleske skupine, Školska 6, 51215 Kastav ,  PO Halugica-Spinčići, Spinčići 47, 51215 Kastav ,  PO Kastafske sardelice, Šporova jama 1a,   ,  PO Mavrica - Školska 8, Školska 8,  
"DV ""Poneštrica""";Monika Vučetić Juretić;Primorsko-goranska županija ;ĆIKOVIĆI 26/4;Kastav;051 225 138;dvponestrica@gmail.com ; PO Kockica, BRESTOVICE 34 A, 51215 KASTAV ,  PO Sreća, Ilovca 18 c,  
"Dječji vrtić ""VRAPČIĆ""";Iva Hrković , Iva Hrković;Grad Zagreb;Soblinečka 29;Kašina;098/266992;dv.vrapcic@gmail.com; PO Domobranska 2, Domobranska 2,  
"DV ""Mali Isus""";Držba sestara Služavki Malog Isusa- Provincija sv. Josipa- Split;Splitsko-dalmatinska županija ;Don Klementa Tadina 17;Kaštel Kambelovac;021/262 152;dvmisus@gmail.com;" PO Mali Isus, Košute 186 , 21240 Trilj ,  DV ""Mali Isus"", Tina Ujevića 8, 20350 Metković"
"Dječji vrtić ""Kaštela""";Grad Kaštela;Splitsko-dalmatinska županija ;Ulica Birnja 13;Kaštel Stari;021/225-480;vrtic.kastel@inet.hr; PO Maginja, Kneza Trpimira 8, 21212 Kaštel Sućurac ,  PO Neven, Obala kralja Tomislava 21, 21212 Kaštel Sućurac ,  PO Tamaris, Prilaz Giričić 2, 21213 K. Gomilica ,  PO Tratinčica, Cesta dr. F. Tuđmana 383, 21214 Kaštel  Kambelovac ,  PO Trešnjica, Janka Rodina 3, 21215 Kaštel  Lukšić ,  PO Maslina, Put sv. Lucije 1, 21216 Kaštel  Stari ,  PO Višnjica, Ante Kružića 10, 21216 Kaštel  Stari ,  PO Murtilica, Put mira 23, 21216 Kaštel  Novi ,  PO Žižula, Ulica Biranj 13, 21216 KAŠTEL STARI ,  PO Smokvica, Ulica don Frane Bege 6, 21214 KAŠTEL KAMBELOVAC ,  PO Mendula, Don Klementina Tadina 2, 21214 KAŠTEL KAMBELOVAC
Dječji vrtić Blagovijest;Družba sestara milosrdnica sv.Vinka Paulskoga, Provincija Navještenja Gospodinova - Split;Splitsko-dalmatinska županija ;Bana Jelačića 55;Kaštel Stari;095/4888-777;blagovijest1@gmail.com; Dječji vrtić Blagovijest-Podružnica Zadar, Sv. Vinka Paulskog 2, 23000 Zadar ,  Dječji vrtić Blagovijest-Podružnica Sinj, Istarska 21,  
"Dječji vrtić ""Sunce moje malo""";Ivana Radić;Splitsko-dalmatinska županija ;Kroz Blata 6;Kaštel Sućurac;021224635;suncemojemal@gmail.com;NA
Kraći program predškole pri OŠ Kistanje;Općina Kistanje;Šibensko-kninska županija ;Dr. Franje Tuđmana 8;Kistanje;022/ 763 600;"ured@os-kistanje.skole.hr; smstrucic@gmail.com";NA
Predškolski program pri OŠ dr. Ante Starčevića, Pazarište Klanac;Grad Gospić;Ličko-senjska županija ;Klanac 3;Klanac;053/686-002;ured@os-astarcevic-klanac.skole.hr; PŠ Donje Pazarište, ,   ,  PŠ Aleksinica, ,   ,  PŠ Kalinovača, ,  
"Dječji vrtić ""Kesten""";Grad Klanjec;Krapinsko-zagorska županija ;Ružmarinska ulica 18;Klanjec;049/435-060, 099/841-2999;dvkesten@gmail.com;NA
"Dječji vrtić ""Latica"" Klenovnik";Općina Klenovnik;Varaždinska županija ;Klenovnik 32;Klenovnik;042/763-333;"latica@vz.t-com.hr ; vrtic.latica@gmail.com";NA
"Dječji vrtić ""Proljeće""";Općina Kloštar Ivanić;Zagrebačka županija ;Naftaplinska 23/a;Kloštar Ivanić;01 / 2892-545;djecji.vrtic1@zg.t-com.hr; PO Livada, Trg svetog Ivana 1, 10312 Kloštar Ivanić
Udruga Društvo naša djeca ;NA;Koprivničko-križevačka županija ;Kralja Tomislava 2;Kloštar Podravski;098/1663405;jdjipalo@gmail.com; PO udruge Društvo naša djeca u Budančevici, Stjepana Radića 3, 48362 Budančevica
"Dječji vrtić ""Krijesnica""";NA;Koprivničko-križevačka županija ;Oderjan 40;Kloštar Podravski;048/816066;opcina-klostar-podravski@klostarpodravski.hr;NA
"Dječji vrtić ""Zeko""";Općina Kneževi Vinogradi;Osječko-baranjska županija ;Glavna 84A;Kneževi Vinogradi;031/731-012;dvzekoknvin@gmail.com; PO Zmajevac, SPORTSKA 2/A, 31307 ZMAJEVAC ,  PO Karanac, KOLODVORSKA 106, 31315 KARANAC ,  PO Suza, PETEFI ŠANDORA 1, 31308 SUZA
"Dječji vrtić ""Cvrčak"" Knin";Grad Knin;Šibensko-kninska županija ;Ul. kraljice Jelene 3;Knin;022/663-720,  022/663-118;ravnateljica@dvcvrcak.hr; PO Visibaba, Maslenička 15, 22300 Knin ,  PO Maslačak, Velebitska 3, 22300 Knin ,  PO Tratinčica, Velebitska 7, 22300 Knin ,  PO Radost, Ulica 4. Gardijske brigade 16,  
"Dječji vrtić ""Komiža""";Grad Komiža;Splitsko-dalmatinska županija ;Gornji put 14a;Komiža;021/713-035;dv-komiza@st.t-com.hr;NA
"Češki Dječji vrtić ""Končanica""";Općina Končanica;Bjelovarsko-bilogorska županija ;Končanica 341;Končanica;043/325-185;cdv.koncanica@gmail.com;NA
"Dječji vrtić ""Konjščina""";OPĆINA KONJŠČINA;Krapinsko-zagorska županija ;Pionirska 2;Konjščina;049 465-100;dv-konjscina@post.ht.hr;NA
"Dječji vrtić ""Tratinčica""";Grad Koprivnica;Koprivničko-križevačka županija ;Trg podravskih heroja 7;Koprivnica;048/621-358 ;djecji.vrtic.tratincica@kc.t-com.hr; PO Loptica, Ivana Generalića 4, 48000 Koprivnica ,  PO Pčelica, Opatička 9, 48000 Koprivnica ,  PO Vjeverica, Vinica 67, 48000 Koprivnica ,  PO Kockica, J.J. Strossmayerova 3, 48000 KOPRIVNICA ,  PO Bubamara, Trg podravskih heroja 7, 48000 Koprivnica ,  PO Ivančica, Ante Starčevićeva 41, 48000 Koprivnica ,  PO Zvjezdica, F. Mraza 24, 48000 Koprivnica ,  PO Lastavica, Starogradska 13a, 48305 Reka ,  PO Bombončić, Trg podravskih heroja 7 , 48000 Koprivnica ,  PO Crvenkapica, Trg Žarka Dolinara 12, 48000 Koprivnica ,  PO Jabučica, Krešimirova ulica 30/1,  
COOR Podravsko sunce;Grad Koprivnica;Koprivničko-križevačka županija ;Hercegovačka bb;Koprivnica;048/240-341;"ravnatelj@centar-podravskosunce-koprivnica.skole.hr; ured@centar-podravskosunce-koprivnica.skole.hr";NA
"Dječji vrtić ""Smiješak""";Marija Dolenec , Marija Dolenec;Koprivničko-križevačka županija ;Starogradska 22;Koprivnica;048/621-620;dvsmijesak@gmail.com;NA
Dječji vrtić Igra;Gabrijela Golub;Koprivničko-križevačka županija ;Kneza Domagoja 93;Koprivnica;048/864166;djecji.vrtic.igra@gmail.com; PO Rasinja, Školska ulica 15,   ,  PO Kloštar Podravski, Oderjan 40,   ,  PO Hlebine, Krste Hegedušića 44,   ,  PO Lastavica, Ulica Matije Gupca 15a,   ,  PO Potočnica, Braće Radić 23,   ,  PO Drnje, Trg kralja Tomislava 26, Drnje,  
