naziv;opis;sifra;zupanija;adresa;mjesto;lokacija;ravnatelj;telefon;faks;e_mail;web
Privatna varaždinska gimnazija s pravom javnosti;Srednja škola;05-086-517;Varaždinska;Stanka Vraza 37;42000  Varaždin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;NA;042 330385;NA;gimnazija@skola-ziger.hr;www.skola-ziger.hr/gimnazija
Srednja škola Vela Luka;Srednja škola;19-038-502;Dubrovačko-neretvanska;ULICA  5 BR. 9;20270  Vela Luka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ofelija  Dragojević;020/812-456 , 020/812-972 , 020/812-972;020/812-516 , 020/812-516;ssvl@ss-vela-luka.skole.hr;http://ss-vela-luka.skole.hr
Ekonomska škola Velika Gorica;Srednja škola;01-087-501;Zagrebačka;KRALJA STJEPANA TOMAŠEVIĆA 21;10410  Velika Gorica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vesna  Brkljačić;01/626-52-39 , 01/626-52-49 , 01/626-52-48;01/626-52-39;ured@ss-ekonomska-velikagorica.skole.hr;NA
GIMNAZIJA VELIKA GORICA;Srednja škola;01-087-502;Zagrebačka;ULICA KRALJA STJEPANA TOMAŠEVIĆA 21;10410  Velika Gorica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Brankica  Žugaj;01/6221-370 , 01/6265-244;01/6221-370;ured@gimnazija-velika-gorica.skole.hr;http://www.gimnazija-velika-gorica.skole.hr/
SREDNJA STRUKOVNA ŠKOLA VELIKA GORICA;Srednja škola;01-087-503;Zagrebačka;ULICA KRALJA STJEPANA TOMAŠEVIĆA 21;10410  Velika Gorica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Miroslav  Antolčić;6251-800 , 01/ 6222 256 , 01 6222 233 , 01 6222 113;NA;ured@sss-vg.hr;ss-strukovna-velikagorica.skole.hr
Zrakoplovna tehnička škola Rudolfa Perešina;Srednja škola;01-087-504;Zagrebačka;Rudolfa Fizira 6;10410  Velika Gorica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vedran  Šarac;01/6260 523 , 01/6260 526;38575805650;ured@ss-zrakoplovna-rperesina-vg.skole.hr;http://ss-zrakoplovna-rperesina-vg.skole.hr
Umjetnička škola Franje Lučića;Osnovna škola, Srednja škola, Umjetnička škola;01-087-505;Zagrebačka;SLAVKA KOLARA 39;10410  Velika Gorica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Borut  Vidošević;622-13-76, 622-13-75 , 626-05-35;622-13-75;ured@ss-umjetnicka-flucica-velikagorica.skole.hr;www.ss-umjetnicka-flucica-velikagorica.skole.hr
Tehnička škola Ruđera Boškovića Vinkovci;Srednja škola;16-088-501;Vukovarsko-srijemska;STANKA VRAZA 15;32100  Vinkovci; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mate  Vukušić;032/ 354 619 , 032/ 354 244 , 032/ 354 620 , 099 736 0445 , 032/354-615 , 032/354-114;032/354-615;mate.vukusic@skole.hr , administracija@tsvk.hr , tsvk@ss-tehnicka-rboskovica-vk.skole.hr , tajnistvo@tsvk.hr , andrea.jancic@skole.hr , racunovodstvo@tsvk.hr;http://www.tsvk.hr
Gimnazija Matije Antuna Reljkovića;Srednja škola;16-088-502;Vukovarsko-srijemska;Trg bana Josipa Šokčevića 1;32100  Vinkovci; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivana  Biljan;032/332-284 , 032/332-284 , 032/338-261 , 032/331-511, 331-517, 338-262;NA;ured@gimnazija-mareljkovica-vk.skole.hr , racunovodstvo.gvk@gmail.com;http://gimnazija-mareljkovica-vk.skole.hr
Ekonomska i trgovačka škola Ivana Domca;Srednja škola;16-088-504;Vukovarsko-srijemska;Antuna Akšamovića 31;32100  Vinkovci; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mato  Džalto;032/354-064 , 032/354-064 , 032/354-983 , 032/354-984;NA;ured@ss-ekonomska-vk.skole.hr;NA
Drvodjelska tehnička škola;Srednja škola;16-088-506;Vukovarsko-srijemska;STANKA VRAZA 15;32100  Vinkovci; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Josip  Jovanovac;032/354-866 , 032/354-821 , 032/354-617 , 032/354-069;032/354-820;ravnatelj@ss-drvodjelska-tehnicka-vk.skole.hr , tajnistvo@ss-drvodjelska-tehnicka-vk.skole.hr;www.ss-drvodjelska-tehnicka-vk.skole.hr
Srednja strukovna škola Vinkovci;Srednja škola;16-088-507;Vukovarsko-srijemska;STANKA VRAZA 15;32100  Vinkovci; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Domagoj  Bujadinović;032/354-618 , 032/354-901 , 032/354-900;NA;pedagog@ss-strukovna-vk.skole.hr , sssvinkovci@gmail.com;http://www.ss-strukovna-vk.skole.hr/
Zdravstvena i veterinarska škola Dr. Andrije Štampara Vinkovci;Srednja škola;16-088-508;Vukovarsko-srijemska;H.D.Genschera 16a;32100  Vinkovci; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Josip  Šuker;032/306-301 , 032/306-301 , 032/306-190 , 032/306-191;NA;ured@ss-drastampara-vk.skole.hr;NA
POLJOPRIVREDNO ŠUMARSKA ŠKOLA VINKOVCI;Srednja škola;16-088-509;Vukovarsko-srijemska;H.D.GENSCHERA 16;32100  Vinkovci; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ružica  Zucić;032/306-292 , 032/306-601;NA;pssvk@ss-poljoprivredno-sumarska-vk.skole.hr , ps.skola.vinkovci@gmail.com;NA
Glazbena škola Jan Vlašimsky Virovitica;Osnovna škola, Srednja škola, Umjetnička škola;10-089-507;Virovitičko-podravska;ANTUNA MIHANOVIĆA 21;33000  Virovitica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Damir  Mihaljević;033/721-804 , 033/721-910 , 033/721-805;NA;ured@gs-jvlasimsky-vt.skole.hr , glazbena@vlasimsky.hr , ravnatelj@vlasimsky.hr;NA
CENTAR ZA ODGOJ, OBRAZOVANJE I REHABILITACIJU VIROVITICA;Osnovna škola, Srednja škola;10-089-004;Virovitičko-podravska;Nikole Tesle 4;33000  Virovitica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Margarita  Kovačević;033/721-854 , 033/800-232;NA;tajnistvo@coorvirovitica.hr , ured@coor-virovitica.skole.hr;NA
GIMNAZIJA PETRA PRERADOVIĆA VIROVITICA;Srednja škola;10-089-501;Virovitičko-podravska;TRG BANA J. JELAČIĆA 16;33000  Virovitica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Kristijan  Gostimir;033/722-711 , 033/722-711;NA;gimnazija-petar-preradovic1@vt.t-com.hr;www.gimnazija-ppreradovica-vt.skole.hr
TEHNIČKA ŠKOLA VIROVITICA;Srednja škola;10-089-502;Virovitičko-podravska;ZBORA NARODNE GARDE 29;33000  Virovitica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivan  Kućan;033/800-957 , 033/725-777;033/725-274;ured@ss-tehnicka-vt.skole.hr;NA
INDUSTRIJSKO-OBRTNIČKA ŠKOLA VIROVITICA;Srednja škola;10-089-503;Virovitičko-podravska;Zbora narodne garde 29;33000  Virovitica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vladimir  Reider;033/800-234 , 033/722-792 , 033/800-233 , 033/722-791;033/721-283;ios.ravnatelj@ss-industrijskoobrtnicka-vt.skole.hr , ios.vtc@ss-industrijskoobrtnicka-vt.skole.hr;www.ss-industrijskoobrtnicka-vt.skole.hr
STRUKOVNA ŠKOLA VIROVITICA;Srednja škola;10-089-504;Virovitičko-podravska;Vukovarska cesta 1;33000  Virovitica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Pavica  Biondić-Ivanković;033/722-939 , 033/800-919;NA;tajnistvo@ss-strukovna-vt.skole.hr , info@ssv.hr;www.ssv.hr
KATOLIČKA KLASIČNA GIMNAZIJA S PRAVOM JAVNOSTI U VIROVITICI;Srednja škola;10-089-506;Virovitičko-podravska;Trg Ljudevita Patačića 3;33000  Virovitica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marijana  Novak Stanić;033/800-755 , 033/800-756 , 033/800-648 , 033/554-145;033/800-756;ured@gimnazija-katolicka-klasicna-vt.skole.hr;www.kkg-vtc.hr
SREDNJA ŠKOLA ANTUN MATIJAŠEVIĆ - KARAMANEO;Srednja škola;17-090-501;Splitsko-dalmatinska;VIŠKOG BOJA 9;21480  Vis; Potraži na karti školu...        ili   Potraži na karti adresu...  ;NA;021/711-748 , 021/711-449;021/711-449;ured@ss-amkaramaneo-vis.skole.hr;NA
SREDNJA ŠKOLA VRBOVEC;Srednja škola;01-094-501;Zagrebačka;7. SVIBNJA 2;10340  Vrbovec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mirjana  Pušić;01/279-11-09 , 01/279-10-49 , 01/279-31-21;01/279-11-09;ured@ss-vrbovec.skole.hr;www.ssvrbovec.hr
SREDNJA ŠKOLA TINA UJEVIĆA;Srednja škola;17-093-501;Splitsko-dalmatinska;MATICE HRVATSKE 8;21276  Vrgorac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Drago  Mihaljević;021/674-026 , 021/674-335;021/674-335;ured@ss-tujevic-vrgorac.skole.hr;http://ss-tujevic-vrgorac.skole.hr/
GIMNAZIJA VUKOVAR;Srednja škola;16-096-501;Vukovarsko-srijemska;ŠAMAC 2;32000  Vukovar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Giana  Marović Zeko;032/413-338 , 032/413-338 , 032/413-953;032/414-780;administracija@gimnazija-vukovar.skole.hr;www.gimnazija-vukovar.skole.hr
Ekonomska škola Vukovar;Srednja škola;16-096-502;Vukovarsko-srijemska;Stjepana Filipovića 6;32010  Vukovar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Jelena  Vinaj;032/423-019 , 095-691-96-14 , 032/423-305;032/421-032;ured@ekonomska-skola-vukovar.hr;NA
TEHNIČKA ŠKOLA NIKOLE TESLE;Srednja škola;16-096-503;Vukovarsko-srijemska;Blage Zadre 4;32010  Vukovar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Đorđe  Lukić;032/423-025 , 032/423-025;032/421-619;ured@ss-tehnicka-ntesla-vu.skole.hr , ured@ss-tehnicka-ntesla-vu.skole.hr;NA
Srednja strukovna škola Marko Babić;Srednja škola;16-096-504;Vukovarsko-srijemska;Domovinskog rata 58;32010  Vukovar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Rudolf  Tomić;032/424-970;032/424-971;ravnatelj@ss-markobabic-vu.skole.hr , racunovodstvo@ss-markobabic-vu.skole.hr , administrator@ss-markobabic-vu.skole.hr , tajnistvo@ss-markobabic-vu.skole.hr;http://ss-markobabic-vu.skole.hr/
SREDNJA ŠKOLA ZABOK;Srednja škola;02-097-501;Krapinsko-zagorska;IVANA I CVIJETE HUIS 2;49210  Zabok; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Draženka  Jurec;049/221-018 , 049/500-142 , 049/226-577 , 049/221-018;049/249-130;srednjao@inet.hr;http://ss-zabok.skole.hr
Škola za umjetnost, dizajn, grafiku i odjeću Zabok;Srednja škola, Umjetnička škola;02-097-502;Krapinsko-zagorska;Prilaz prof. Ivana Vrančića 5;49210  Zabok; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Božica  Šarić;049/221-620 , 049/221-174 , 049/221-205 , 049/221-169;049/221-147;ured@ss-sudigo-zabok.skole.hr;http://ss-sudigo-zabok.skole.hr
GIMNAZIJA ANTUNA GUSTAVA MATOŠA;Srednja škola;02-097-503;Krapinsko-zagorska;Prilaz Janka Tomića 2;49210  Zabok; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Bibijana  Šlogar;049/587-655 , 049/587-661 , 049/587-667 , 049/587-655;049/503-382;gimagm-zabok@gimagm.hr , ured@gimnazija-agmatos-zabok.skole.hr;http://www.gimagm.hr/
GIMNAZIJA FRANJE PETRIĆA ZADAR;Srednja škola;13-107-501;Zadarska;OBALA KNEZA TRPIMIRA 26;23000  Zadar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Blanka  Pedišić;023 335215 , 023/331-015;023/331-015;ured@gimnazija-fpetrica-zd.skole.hr ;http://www.zd-mioc.hr
GIMNAZIJA VLADIMIRA NAZORA;Srednja škola;13-107-502;Zadarska;Perivoj Vladimira Nazora 3/II;23000  Zadar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sandra  Šango;023/315-311 , 023/317-064;023/315-311;gimnazija-vn@zd.t-com.hr , ured@gimnazija-vnazora-zd.skole.hr;NA
GIMNAZIJA JURJA BARAKOVIĆA;Srednja škola;13-107-503;Zadarska;Perivoj Vladimira Nazora  br. 3;23000  Zadar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ranko  Artuković;023/300-129 , 023/300-130 , 023/317-051 , 023/300-125;023/301-774;gjb@gjb.hr;NA
KLASIČNA GIMNAZIJA IVANA PAVLA II. S PRAVOM JAVNOSTI;Srednja škola;13-107-504;Zadarska;Jerolima Vidulića 2;23000  Zadar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ante  Sorić;023/253-800 , 023/253-801 , 023/253-802;023/253-810;klasicna@zd.t-com.hr;http://www.gimnazija-ivanapavla.hr
POMORSKA ŠKOLA ZADAR;Srednja škola;13-107-506;Zadarska;ANTE KUZMANIĆA 1;23000  Zadar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marin  Perinić;023/315-600 , 023/098/332-462 , 023/317-055, 300-314;023/316-510;pomorskazd@ss-pomorska-zd.skole.hr;NA
MEDICINSKA ŠKOLA ANTE KUZMANIĆA-ZADAR;Srednja škola;13-107-509;Zadarska;Dr. Franje Tuđmana 24 G;23000  Zadar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Anita  Basioli;023 214 860 , 023/213-750;023/318-797;ante-kuzmanic@medskolazd.hr;http://www.medskolazd.hr
OBRTNIČKA ŠKOLA GOJKA MATULINE ZADAR;Srednja škola;13-107-511;Zadarska;IVANA MAŽURANIĆA 32;23000  Zadar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Silvana  Ujdur Bilan;023/236-319 , 023/236-228;023/236-228;obrtskolgm-zd@obrtskolgm.hr;NA
TEHNIČKA ŠKOLA;Srednja škola;13-107-512;Zadarska;Nikole Tesle 9 C;23000  Zadar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Denis  Prusac;023/239-480 , 023/239-481 , 023/239-482, 239-483, 239-484, 239-490;023/239-494;ured@ss-tehnicka-zd.skole.hr;www.ss-tehnicka-zd.skole.hr
Strukovna škola Vice Vlatkovića;Srednja škola;13-107-513;Zadarska;NIKOLE TESLE 9C;23000  Zadar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tihomir  Tomčić;"023/239-460; 095/8083900 , 023/239-461;099/2207646 , 023/239-462, 239-463, 239-475";023/239-472;ured.ss-strukovna-vvlatkovica-zd@skole.hr;NA
Prirodoslovno - grafička škola;Srednja škola;13-107-514;Zadarska;PERIVOJ VLADIMIRA NAZORA 3;23000  Zadar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Anamarija  Ivković;023/213-746 , 023/224 028 , 023/627 626;NA;ured@pgszd.hr;NA
Poljoprivredna, prehrambena i veterinarska škola Stanka Ožanića;Srednja škola;13-107-515;Zadarska;Dr.F.Tuđmana 24/H;23000  Zadar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Jelena  Gulan;023/315-668 , 023/316-044;023/316-044;skola@ppvs-ozanic.hr;NA
ŠKOLA PRIMIJENJENE UMJETNOSTI I DIZAJNA;Srednja škola, Umjetnička škola;13-107-516;Zadarska;PERIVOJ VLADIMIRA NAZORA 3/III;23000  Zadar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marjana  Bakmaz;023/212-228;023/224-053;spud.zd@skole.hr;NA
EKONOMSKO-BIROTEHNIČKA I TRGOVAČKA ŠKOLA;Srednja škola;13-107-518;Zadarska;ANTUNA GUSTAVA MATOŠA 40;23000  Zadar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zdenka  Sršen-Juričević;023/331-022 , 023/337-420 , 023/337-426;023/331-221, 331-022;ekonomska@ebt-zadar.hr;www.ebt-zadar.hr
HOTELIJERSKO-TURISTIČKA I UGOSTITELJSKA ŠKOLA;Srednja škola;13-107-519;Zadarska;ANTUNA GUSTAVA MATOŠA 40;23000  Zadar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Diana  Radić Škara;023/335-295 , 023/331-918 , 023/333-173;NA;htus@htus.htnet.hr;www.htus.hr
Privatna gimnazija NOVA s pravom javnosti;Srednja škola;13-126-537;Zadarska;Splitska 1;23000  Zadar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Margita  Gurdulić;023 301 565;NA;skola@pgnova.hr;www.pgnova.hr
Glazbena škola Blagoje Bersa Zadar;Osnovna škola, Srednja škola, Umjetnička škola;13-107-521;Zadarska;Dr. Franje Tuđmana 24e;23000  Zadar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Branka  Višić Karavida;"023 319-127 , 023/319-127; 300-099 , 023/300-098";023/315-757;gl-skola-blagoja-bersa-zd@zd.htnet.hr;http://www.glazbena-skola-zadar.hr
EPOHA, privatna gimnazija s pravom javnosti;Srednja škola;21-114-635;Grad Zagreb;Sopot 2, Podsused;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Renata  Brekalo;01 8880410;NA;info@epoha.hr;NA
Privatna sportska i jezična gimnazija Franjo Bučar;Srednja škola;21-114-628;Grad Zagreb;Ulica Nikole Tesle 14;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zdenka  Ivanković;01 5620 833;NA;info@gimnazijabucar.hr;www.gimnazijabucar.hr
"Glazbena škola ""Muzički atelje""";Osnovna škola, Srednja škola, Umjetnička škola;21-114-630;Grad Zagreb;Harambašićeva 14;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zdravko  Miladin;095/910-2412;NA;info@muzickiatelje.hr;NA
OPĆA PRIVATNA GIMNAZIJA;Srednja škola;21-114-623;Grad Zagreb;Ljudevita Gaja 22;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;NA;01/4816-063 ;NA;info@opg.hr;www.opg.hr
Gimnazija Marul;Srednja škola;21-114-631;Grad Zagreb;Vodnikova 12;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Veronika  Javor;01 4877800;NA;marul@gimnazijamarul.hr;www.gimnazijamarul.hr
Glazbena škola Ladislav Račić;Osnovna škola, Srednja škola, Umjetnička škola;21-114-634;Grad Zagreb;Park Ribnjak 1;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ladislav  Račić;01 4818 592;NA;info@rock-akademija.hr;www.rock-akademija.hr
"Privatna glazbena škola ""Iva Kuprešak""";Osnovna škola, Srednja škola, Umjetnička škola;21-114-158;Grad Zagreb;Ljubijska ul. 82;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Kuprešak  Iva;099/352-0880;NA;ik2210@columbia.edu;NA
GLAZBENA ŠKOLA BONAR;Osnovna škola, Srednja škola, Umjetnička škola;02-014-003;Grad Zagreb;DRAGE GERVAISA 13;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ružica  Gelo Ciglenečki;091/5681435;NA; ruzica.gelo-ciglenecki@bonar.hr , info@bonar.hr;NA
Glazbena škola Brkanović;Osnovna škola, Srednja škola, Umjetnička škola;21-114-626;Grad Zagreb;Trg kralja Tomislava 18;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vedran  Brkanović;0958356708;NA;info@glazbenaskolabrkanovic.hr;www.glazbenaskolabrkanovic.hr
Privatna gimnazija i turističko-ugostiteljska škola Jure Kuprešak;Srednja škola;21-114-621;Grad Zagreb;Ljubijska 82;10040  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Jure  Kuprešak;01/2987-539, 098/283-299;NA;skola-kupresak@email.t-com.hr;NA
Srednja škola - Centar za odgoj i obrazovanje;Posebna ustanova odgoja i obrazovanja, Srednja škola;21-114-566;Grad Zagreb;ZAGORSKA 14;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Đana  Baftiri;01/364-34-37 , 01/364-38-38;01/364-70-64;info@ss-czoio.hr;www.ss-czoio.hr
Ženska opća gimnazija Družbe sestara milosrdnica - s pravom javnosti;Srednja škola;21-114-568;Grad Zagreb;GUNDULIĆEVA 12;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vesna  Dinjar, S. Danijela;01/483-02-48 , 01/483-02-48 , 01/4830-248 , ;01/487-59-41;ured@gimnazija-druzbesestaramilosrdnica-zg.skole.hr;NA
TEHNIČKA ŠKOLA RUĐERA BOŠKOVIĆA;Srednja škola;21-114-588;Grad Zagreb;GETALDIĆEVA 4;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Đurđica  Fuštar;01/237-10-61 , 01/237-10-61 , 01/237-10-63 , 01/237-10-66;01/237-10-62;tsrb@tsrb.hr;www.tsrb.hr
Hotelijersko-turistička škola u Zagrebu;Srednja škola;21-114-595;Grad Zagreb;FRANKOPANSKA 8;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zdravka  Krpina;01/6441-221 , 01/6441-253 , 01/6441-250 , 01/2303-444 , 01/6441-220;01/484-85-44;ured@ss-hotelijersko-turisticka-zg.skole.hr;http://www.ss-hotelijersko-turisticka-zg.skole.hr/
PRVA PRIVATNA GIMNAZIJA s pravom javnosti;Srednja škola;21-114-618;Grad Zagreb;Andrije Hebranga 21;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Maja  Breitenfeld;01/485-21-42 , 01/485-21-42 , 01/488-36-63;01/485-21-42;info@ppg.hr , prva-privatna-gimnazija@zg.t-com.hr;NA
PRIVATNA KLASIČNA GIMNAZIJA S PRAVOM JAVNOSTI;Srednja škola;21-114-620;Grad Zagreb;HARAMBAŠIĆEVA 19;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zvonimir  Bošnjak;01/230-03-25;01/234-50-81;privklas@zamir.net;NA
Gimnazija i ekonomska škola Benedikta Kotruljevića, s pravom javnosti;Srednja škola;21-114-600;Grad Zagreb;SVETI DUH 129;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nada  Morić;01/370-07-42 , 01/370-07-42;013700742;info@gimneks.hr;NA
Privatna gimnazija i ekonomska škola Katarina Zrinski;Srednja škola;21-114-601;Grad Zagreb;Selska cesta 119;10110  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mladen  Nikolašević;01/4002-304 , 01/3695-588 , 01/3010-621 , 01/3010-622;01/3014-943;katarina@zrinski.org;www.zrinski.org
LINIGRA-privatna škola s pravom javnosti;Srednja škola;21-114-602;Grad Zagreb;Gjure Szaba 4;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Trpimir-Frane  Sulić;01 /3779-593 , 091/233-5839;01 /3779-582;info@linigra.hr;www.linigra.hr
Islamska gimnazija dr. Ahmeda Smajlovića;Srednja škola;21-114-597;Grad Zagreb;Prilaz Safvet-bega Bašagića 1;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mevludi  Arslani;01/6155 294 , 01/6155 268 , 01/6131 057;NA;info@islamska-gimnazija.hr;http://ss-drasmajlovic-zg.skole.hr/
Privatna umjetnička gimnazija, s pravom javnosti;Srednja škola;21-114-609;Grad Zagreb;TUŠKANAC 77;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tea  Hofmann;01/4854-437 , 099/270-4355;01/4854-202;webmaster@pug.hr , info@pug.hr;www.pug.hr
Privatna gimnazija Dr. Časl, s pravom javnosti;Srednja škola;21-114-614;Grad Zagreb;DEDIĆI 102;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Martin-Tino  Časl;091/ 2006 286 , 01/461-10-07, 463-67-89;01/463-67-89;ravnatelj@kreativan-razvoj.hr;www.privatna-gimnazija-casl.hr
Privatna gimnazija i strukovna škola Svijet s pravom javnosti;Srednja škola;21-114-615;Grad Zagreb;Vlaška 40;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marija  Šarić;01/ 48 73 957;01/ 48 73 958;kontakt@privatnagimnazijasvijet.hr;www.privatnagimnazijasvijet.hr
Privatna gimnazija i ekonomsko-informatička škola Futura s pravom javnosti;Srednja škola;21-114-617;Grad Zagreb;Divka Budaka 1/d;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sofija  Pinjušić Ćurić;01/48-28-571 , 098/927-40-09;01/48-28-572;info@skola-futura.hr;www.skola-futura.hr
SRPSKA PRAVOSLAVNA OPĆA GIMNAZIJA KANTAKUZINA-KATARINA BRANKOVIĆ ustanova ˝s pravom javnosti˝;Srednja škola;21-114-598;Grad Zagreb;Sveti Duh 122;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Slobodan  Lalić;01/4852-871;NA;gimnazija@srpskagimnazija-zg.org;NA
ŠKOLA ZA KLASIČNI BALET;Osnovna škola, Srednja škola, Umjetnička škola;21-114-589;Grad Zagreb;ILIRSKI TRG 9;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marko  Đurakić;01/485-13-20 , 01/485-12-26;01/485-13-20;skola@skolazaklasicnibalet.hr;www.skolazaklasicnibalet.hr
ŠKOLA SUVREMENOG PLESA ANE MALETIĆ;Srednja škola, Umjetnička škola;21-114-590;Grad Zagreb;Laginjina 13;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Oksana  Čuljat;01/4670 400 , 01/4670 400;NA;skola@skolaanemaletic.hr;http://ss-suvremenogplesa-amaletic-zg.skole.hr
Umjetnička plesna škola Silvije Hercigonje;Osnovna škola, Srednja škola, Umjetnička škola;21-114-121;Grad Zagreb;ZAGORSKA 16;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivana  Pinjušić Bužančić;NA;NA;matija.podnar@gmail.com , tajnistvo@plesna-hercigonja.com , ravnatelj@plesna-hercigonja.com , racunovodstvo@plesna-hercigonja.com;NA
Glazbena škola Zlatka Balokovića;Osnovna škola, Srednja škola, Umjetnička škola;21-114-596;Grad Zagreb;Božidara Magovca 103;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marjan  Krajna;01/6692-951 , 01/2399-180;01/239-54-95;glazbenaskola.zbalokovica@inet.hr ;NA
Glazbena škola Pavla Markovca;Osnovna škola, Srednja škola, Umjetnička škola;21-114-591;Grad Zagreb;TRG  ŽRTAVA  FAŠIZMA 9;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Niko  Marušić;01/45 52 590 , 01/45-52-858;01/45 52 858;gspm@ss-glazbena-pmarkovca-zg.skole.hr , franjo.klinar@skole.hr , pavla.markovca@zg.t-com.hr  , upisi.ss.gspm@gmail.com;NA
Glazbeno učilište Elly Bašić;Osnovna škola, Srednja škola, Umjetnička škola;21-114-592;Grad Zagreb;Vlaška ulica 87;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mirela  Buchberger Karlo;01/4666 101;01/466-62-21;guebasic@zg.t-com.hr;www.ellybasic.hr
