"Naziv";"Adresa";"Postanski Broj";"Mjesto";"Zupanija";"Telefon";"e Posta"
"Dječji vrtić ""ZVONČICA""";"Put od Fortice 29";"52100";"Pula";"Istarska županija ";"098/1605693";"djecjivrticzvoncica@gmail.com  "
"Dječji vrtić ""ŠARENI SVIJET""";"Frankopanska 180";"34000";"Požega";"Požeško-slavonska županija ";"034 201 537, 099 861 5176";"djecjivrticsarenisvijet@yahoo.com"
"Udruga ""TVORNICA SMIJEHA""";"Kralja Tomislava 25";"10310";"Ivanić-Grad";"Zagrebačka županija ";"091881 8931, 091 7202 404";"vlahek.ivana@gmail.com; info@tvornica-smijeha.hr"
"Dječji vrtić ""RIBICA""";"Čulinečka cesta 190";"10000";"Zagreb";"Grad Zagreb";"098468281; 098278914";"djecjivrtic.ribica@gmail.com"
"Udruga SPORTSKO DRUŠTVO OLYMPIC";"Milana Rešetara 8";"10000";"Zagreb";"Grad Zagreb";"098544867";"sasa.vujaklija@gmail.com"
"Dječji vrtić ŽIRAFA";"Nikole Cara 6a";"51000";"Rijeka";"Primorsko-goranska županija ";"0911520400";"djvrticzirafica@gmail.com"
"DV ""LANE""";"Bogdanovačka 21, Uske njive";"31000";"Osijek";"Osječko-baranjska županija ";"031-580-051";"dv-lane.os@hotmail.com"
"Dječji vrtić Vlakić";"Braće Slukan 2";"42000";"Varaždin";"Varaždinska županija ";"042 213-850 ";"dv.vlakic@gmail.com"
"Dječji vrtić ZVONO";"Klake 4";"10290";"Zaprešić";"Zagrebačka županija ";"01/3315-517";"info@vrtic-zvono.org"
"Dječji vrtić SUNCOKRET - NOVIGRAD";"Emonijska 6";"52466";"Novigrad";"Istarska županija ";"052 726 864";"girasole.suncokret@gmail.com"
"Dječji vrtić ""MALI ISTRAŽIVAČ""";"Ede Murtića 7";"10000";"Zagreb";"Grad Zagreb";"099 444 8881";"josipa@mali-istrazivac.hr"
"Dječji vrtić Bregunica";"Drenovica 6";"48350";"Novo Virje";"Koprivničko-križevačka županija ";"048/ 810 -022";"vrtic.bregunica@gmail.com"
"Dječji vrtić ""MALI MORNARI""";"Grljevačka 2b";"21311";"Podstrana";"Splitsko-dalmatinska županija ";"091 7623 122";"mledenko@net.hr"
"DV Snjeguljica";"Bože Starca Jurićeva 58";"51000";"Rijeka";"Primorsko-goranska županija ";"051/639 668";"dvsnjeguljicari@gmail.com"
"Talijanski dječji vrtić ""Pinocchio"" - Scuola italiana dell infanzia ""Pinocchio""";"Kornatski prilaz 9";"23000";"Zadar";"Zadarska županija ";"023 321956";"pinocchiozara@gmail.com"
"Udruga Društvo športske rekreacije ""SPORTSKA ABECEDA""";"Milkovićeva 32";"42000";"Varaždin";"Varaždinska županija ";"0918867164";"sportska.abeceda@gmail.com"
"Dječji vrtić ""Maleni talenti""";"Nova Ves 11";"10000";"Zagreb";"Grad Zagreb";"01 486 0836";"malenitalenti@educarena.com"
"Udruga GAUDEAMUS FUTURUS FAKTOR";"Ulica Stjepana Radića 10";"31000";"Osijek";"Osječko-baranjska županija ";"031 200828";"kristina.sakic@gaudeamus.hr"
"Dječji vrtić ""Čarobni dvorac""";"Trg Ivana Kukuljević";"10000";"Zagreb";"Grad Zagreb";"01 389 0006,    098 907 5277";"ajm8889@gmail.com"
"Dječji vrtić ""SUNČEKO""";"Zavrtnica 3/1";"10000";"Zagreb";"Grad Zagreb";"091 151 7395";"info@djecji-vrtic-sunceko.hr"
"Dječji vrtić Čarobni svijet u Rešetarima";"Ulica Matije Gupca 2";"35400";"Rešetari";"Brodsko-posavska županija ";"035 367 231";"vrtic@resetari.hr"
"Dječji vrtić ""GOLUBICA""";"Madijevaca 8";"23000";"Zadar";"Zadarska županija ";"0912626135";"golubica.vrtic@gmail.com"
"Udruga UČI PJEVAJUĆI";"Ulica Antuna Mihanov";"42230";"Ludbreg";"Varaždinska županija ";"0958747983";"ivana.horvat17@gmail.com"
"Udruga za sport i rekreaciju TVORNICA SPORTA";"Cvjetna ulica 9";"34000";"Požega";"Požeško-slavonska županija ";"098 517 805";"tvornicasporta@gmail.com"
"udruga Rekreativno društvo SPORT EDUCA";"Trakošćanska ulica 30";"10000";"Zagreb";"Grad Zagreb";"091 4411244";"info@sport-educa.hr"
"udruga Gimnastički klub MZ MACAN Čakovec";"Ulica Tome Masaryka ";"40000";"Čakovec";"Međimurska županija ";"040 821990";"gkmacan@gmail.com"
"Dječji vrtić RIBICA";"Ulica Tina Ujevića 1";"21260";"Podbablje Gornje";"Splitsko-dalmatinska županija ";"098/1849344;098/9438954";"djecjivrticribica0@gmail.com"
"DV MARUŠKICA";"Put Škara 1";"23223";"Škabrnja";"Zadarska županija ";"0994417602";"djecji.vrtic.maruskica@gmail.com"
"Dječji vrtić Snjeguljica";"Krstova 44";"31000";"Osijek";"Osječko-baranjska županija ";"031/494-812";"djecjivrtic.snjeguljica@gmail.com"
"SPORTSKA AKADEMIJA S10";"Kralja Zvonimira 90b";"32100";"Vinkovci";"Vukovarsko-srijemska  županija ";"098/830-489";"info@sport-s10.hr"
"Dječji vrtić BAJKA";"Nuštarska 4";"32100";"Vinkovci";"Vukovarsko-srijemska  županija ";"032/301 006";"dvbajka@net.hr"
"Dječji vrtić Bubamara";"Prilaz Andrije Hebranga 10";"43000";"Bjelovar";"Bjelovarsko-bilogorska županija ";"043/263-231";"dvbubamarabj@gmail.com"
"Sportsko društvo Lavići";"Fra Filipa Grabovca 20";"10000";"Zagreb";"Grad Zagreb";"014650769, 091/5331349";"danko@sportski-lavici.hr "
"Hrvatski skijaški klub Žuti mačak";"Junija Palmotića 23";"10000";"Zagreb";"Grad Zagreb";"01/4880 612;098/288 581";"info@zutimacak.hr"
"Udruga Svjetlost u pokretu";"Branimira Gušića 1a";"10000";"Zagreb";"Grad Zagreb";"01/381 81 67";"rupcichtatjana@net.hr"
"Dječji vrtić Mali medvjed";"Kukurini 2a";"52332";"Pićan";"Istarska županija ";"0994869106";"e.kristinadjurovic@gmail.com"
"Dječji vrtić Mačak u čizmama";"Kvintička 82-84";"10000";"Zagreb";"Grad Zagreb";"098/633 368";"info@macakucizmama.hr"
"Udruga Udruženje Djeca prva";"Hrvatskog proljeća 3";"10000";"Zagreb";"Grad Zagreb";"01/2947-066, 01/2947-061, 091/";"udr-djeca-prva@inet.hr"
"Tenis klub Gomiš";"Ul. Vincenta iz Kast";"10000";"Zagreb";"Grad Zagreb";"091/4222407";"tkgomis@gmail.com"
"Dječji vrtić ""Pingvin""";"Svetoklarska 7";"10000";"Zagreb";"Grad Zagreb";"095/888 77 86";"info@vrtic-pingvin.com"
"PO i Program predškole pri Osnovnoj školi Antun Klasinc Lasinja";"Trg hrvatskih branitelja 11";"47206";"Lasinja";"Karlovačka županija ";"047/884-199";"ured@osakl.hr"
"Dječji vrtić Roda";"Vulinčeva 1";"10310";"Ivanić-Grad";"Zagrebačka županija ";"01/3885328";"dv.roda.ivg@gmail.com"
"Kraći program odgojno-obrazovnog rada- Igraonica Bamblek pri Knjižnici Nikola Zrinski Čakovec";"Trg Republike 4";"40000";"Čakovec";"Međimurska županija ";"040/310595";"knjiznica-cakovec@ck.t-com.hr"
"Udruga Društvo naša djeca ";"Kralja Tomislava 2";"48350";"Kloštar Podravski";"Koprivničko-križevačka županija ";"098/1663405";"jdjipalo@gmail.com"
"Program predškolskog odgoja pri Udruzi ""Art-akademija""";"Pavla Lončara 1c";"10290";"Zaprešić";"Zagrebačka županija ";"3315-738, 095/533-0985";"viktorijafrajman1@gmail.com"
"Program predškolskog odgoja pri IKEA Hrvatska d.o.o.";"Alfreda Nobela 2";"10361";"Sop";"Zagrebačka županija ";"01/4455-906, 091/6053-514";"danijela.bacicreljic@ikea.com"
"Dječji vrtić Sreća";"Braće Slukan 2";"42000";"Varaždin";"Varaždinska županija ";"091/5458803";"dvsreca@gmail.com"
"Dječji vrtić ""Ružičnjak""";"Prigornica 2";"10000";"Zagreb";"Grad Zagreb";"01/3491-414";"ured@djecjivrticruzicnjak.hr"
"Dječji vrtić ""Otok Pašman""";"Dobropoljana 53";"23262";"Pašman";"Zadarska županija ";"023/374-528";"dvpasman@gmail.com"
"Dječji vrtić ""Šareni leptirić""";"Domovinskog rata 28A";"21210";"Solin";"Splitsko-dalmatinska županija ";"021/785-455";"dopar.loreta@gmail.com"
"Dječji vrtić ""Dobro drvo""";"Strojarska 26";"10000";"Zagreb";"Grad Zagreb";"01/8897-928";"dobrodrvo@protonmail.com"
"Dječji vrtić Igra";"Kneza Domagoja 93";"48000";"Koprivnica";"Koprivničko-križevačka županija ";"048/864166";"djecji.vrtic.igra@gmail.com"
"Judo klub ""Panda Pušća""";"Ravnice 6";"10290";"Donja Pušća";"Zagrebačka županija ";"098/1837-057 tajnik Željka Mar";"judopusca@gmail.com"
"Mirjana Sever d.o.o.";"Park Rudolfa Kropeka";"40000";"Čakovec";"Međimurska županija ";"040/312-391";"skola@mirjanasever.hr"
"Dječji vrtić ""Hlapić""";"Ulica Nikole Tesle 4";"23000";"Zadar";"Zadarska županija ";"0915155124 0994016914";"kikic_13@net.hr"
"Judo klub ""Zagrebačka judo škola""";"Kuhačeva 5";"10000";"Zagreb";"Grad Zagreb";"0915647745";"info@zagrebackajudoskola.com"
"Dječji vrtić ""Vesela pandica""";"Pere Pirkera, II. odvojak 19";"10360";"Sesvete";"Grad Zagreb";"01 5807 777";"dvpandica@gmail.com"
"Ustanova za upravljanje sportskim objektima ""Sportski objekti Samobor""";"Andrije Hebranga 26a";"10430";"Dubrava Samoborska";"Zagrebačka županija ";"013378901";"vladimir.cerkez@samobor.hr"
"Osnovna škola Davorin Trstenjak";"Kolodvorska 1";"33523";"Čađavica";"Virovitičko-podravska županija ";"033/ 544200";"ured@os-davorin-trstenjak-cadjavica.skole.hr"
"Dječji vrtić Slatki svijet";"Limska 3";"52100";"Pula";"Istarska županija ";"052 556610";"dvslatkisvijet@gmail.com"
"Dječji vrtić Petar Pan";"Vladimira Nazora 23";"32260";"Drenovci";"Vukovarsko-srijemska  županija ";"098/805 625";"lidija_petarpan13@hotmail.com"
"Klizačko-koturaljkaški klub Medveščak";"Schlosserove stube 2";"10000";"Zagreb";"Grad Zagreb";"0958136014";"info@kkkmedvescak.hr"
"Društvo športske rekreacije BUBA";"Ulica Ivana Rendića 30";"10000";"Zagreb";"Grad Zagreb";"01/2305266";"sandra.miletic@inet.hr"
"LINGUA CENTAR d.o.o.";"Dr. Vladka Mačeka 28";"47000";"Karlovac";"Karlovačka županija ";"047 421 800";"lingua-centar@lingua-centar.hr"
"Didasko d.o.o.";"Športska 6a";"40000";"Čakovec";"Međimurska županija ";"040/391 072";"info@didasko.com.hr"
"Dječji vrtić ""Čarobno ogledalce""";"Selnička 2a";"42223";"Varaždinske Toplice";"Varaždinska županija ";"099/330-7000";"vrticcarobnoogledalce@gmail.com"
"STUDIO ŽERJAV d.o.o.";"Carinarski odvojak 1";"40000";"Čakovec";"Međimurska županija ";"040/328-094   098 613 620";"studio.zerjav@gmail.com"
"Program predškolskog odgoja pri Osnovnoj školi Stjepana Radića Čaglin";"Vladimira Nazora 1";"34350";"Čaglin";"Požeško-slavonska županija ";"034/221 028";"os-caglin@os-sradica-caglin.skole.hr"
"Dječji vrtić Čarolija";"Žakanje 59d";"47276";"Žakanje";"Karlovačka županija ";"099/400 2885";"dvcarolija@gmail.com"
"Dječji vrtić Luna";"Medovićeva 35";"51000";"Rijeka";"Primorsko-goranska županija ";"0916052400";"djecjivrticluna@gmail.com"
"Udruga ""Slagalica""";"Bartola Kašića 6";"31400";"Đakovo";"Osječko-baranjska županija ";"0915631267";"ambra.rene@gmail.com"
"Program predškolskog odgoja i program predškole pri OŠ Lovas";"Matije Gupca 2";"32237";"Lovas";"Vukovarsko-srijemska  županija ";"032/525140";"ured@os-lovas.skole.hr"
"Program predškole pri OŠ Zadarski otoci-Zadar";"Trg Damira Tomljanovića Gavrana 2";"23000";"Zadar";"Zadarska županija ";"023/312-224";"ured@os-zadarski-otoci-zd.skole.hr"
"Dječji vrtić ""Krijesnica""";"Ulica Vladimira Nazora 3a";"42230";"Mali Bukovec";"Varaždinska županija ";"042/843-277 ; 042/ 843-401";"krijesnica@mali-bukovec.hr"
"Dječji vrtić Smilje ";"Prilaz tvornici 39B";"22000";"Šibenik";"Šibensko-kninska županija ";"022 550 508";"uprava@dv-smilje.hr"
"Dječji vrtić ""Ivančica Oriovac""";"Luke Ilića bb";"35250";"Oriovac";"Brodsko-posavska županija ";"035/409-787";"vrticoriovac@gmail.com"
"Dječji vrtić Cipelica";"Vukovarska 15";"40000";"Čakovec";"Međimurska županija ";"040/500796;040/500797";"info@dv-cipelica.hr ; g.solticsiladi@dv-cipelica.hr"
"Program predškole pri OŠ Čakovci";"Šandora Petefija 8";"32238";"Čakovci";"Vukovarsko-srijemska  županija ";"032/534-134;  098 9275126";"skola@os-cakovci.skole.hr"
"Sportsko društvo ""Skok po skok""";"Ilica 177";"10000";"Zagreb";"Grad Zagreb";"0921915138";"skokposkok1@gmail.com"
"Dječji vrtić ""Dječji koraci""";"Oreškovićeva 6h";"10000";"Zagreb";"Grad Zagreb";"01/551-4479";"dvdjecjikoraci@vip.hr"
"Dječji vrtić ""Čarobni svijet""";"Remetski kamenjak 1";"10000";"Zagreb";"Grad Zagreb";"0989288757";"info@carobnisvijet.net"
"Program predškole pri OŠ Ivan Goran Kovačić";"Lišane Ostrovičke 22";"23420";"Lišane Ostrovičke";"Zadarska županija ";"023/661128";"ured@os-igkovacic-lisaneostrovicke.skole.hr"
"Društvo sportske rekreacije ""MEDO SPORTAŠ""";"Stenjevečka ulica 34";"10000";"Zagreb";"Grad Zagreb";"091/2547526";"medo.sportas@gmail.com"
"Program predškole pri Osnovnoj školi Ilača-Banovci";"Vladimira Nazora 24";"32248";"Ilača";"Vukovarsko-srijemska  županija ";"032/521-994 ;  032/521-039";"ured@os-ilaca-banovci.skole.hr"
"Dječji vrtić ""Jakšić""";"Stjepana Radića 1";"34308";"Jakšić";"Požeško-slavonska županija ";"034/ 273 614";"dvjaksic@gmail.com"
"Dječji vrtić ""Ražanac""";"Ražanac X/9";"23248";"Ražanac";"Zadarska županija ";"023/323-221";"djecji.vrtic.razanac@gmail.com"
"SPORTSKI KLUB ""MINIĆI""";"Otona Ivekovića 4";"10290";"Zaprešić";"Zagrebačka županija ";"091/5045337";"zlatka.pokupec@gmail.com"
"Dječji vrtić ""Zvjezdica""";"Varaždinska 25 b";"40000";"Nedelišće";"Međimurska županija ";"040/500-635";"anne.panic@gmail.com"
"Dječji vrtić ""Mali svijet""";"Banovčeva 29";"52100";"Pula";"Istarska županija ";"099/259-3619";"ravnateljica@dvmalisvijet.hr"
"Program predškole pri OŠ Hugo Kon";"Trg Katarine Zrinske";"10000";"Zagreb";"Grad Zagreb";"0981933514   0995334640";"osnovnaskola@hugokon.org"
"Udruga ""Lingapanga""";"Stanka Vraza 10";"32000";"Vukovar";"Vukovarsko-srijemska  županija ";"032/414-911";"linguapax@vk.htnet.hr"
"Udruga za djecu Bubamara";"Stjepana Radića 117";"35252";"Brodski Stupnik";"Brodsko-posavska županija ";"035/221 535";"udrugabubamara5@gmail.com"
"Dječji vrtić Kreativni dani";"II Cvjetno naselje 9";"10000";"Zagreb";"Grad Zagreb";"092/350 0083";"info@kidsandco.eu"
"Dječji vrtić ""Sveta Marija Magdalena""";"Sela 118";"44273";"Sela";"Sisačko-moslavačka županija ";"099 7567907";"vrtic@biskupija-sisak.hr"
"Skijaški klub ""SkiGuru""";"Glavani 104";"51000";"Kostrena";"Primorsko-goranska županija ";"091/597-3361";"platak@skiguru.info"
"Dječji vrtić BAJKA";"Drinskih mučenica 10";"21000";"Split";"Splitsko-dalmatinska županija ";"021/374-752";"ivanka.nincevic@gmail.com"
"Program predškolskog odgoja pri Centru za odgoj i obrazovanje Krapinske Toplice";"Ljudevita Gaja 2";"49217";"Krapinske Toplice";"Krapinsko-zagorska županija ";"049 500 667";"ured@centar-krapinske-toplice-kr.skole.hr"
"Društvo sportske rekreacije ""Od malih nogu""";"Remetska cesta 7b";"10000";"Zagreb";"Grad Zagreb";"0994097799";"info@odmalihnogu.hr"
"GLAZBAONICA LJUBAV jdoo";"Mogilska 28";"10000";"Zagreb";"Grad Zagreb";"095/8916124";"info@glazbaonicaljubav.com"
"Košarkaški klub Črnomerec";"Baruna Filipovića 16";"10000";"Zagreb";"Grad Zagreb";"091/4954034";"info@kk-crnomerec.hr"
"Društvo sportske rekreacije ""Sport i igra""";"Nova Ves 11";"10000";"Zagreb";"Grad Zagreb";"098233083";"tamara@educarena.com"
"Dječji vrtić ""Heidi""";"Drinska 41";"31000";"Osijek";"Osječko-baranjska županija ";"031/271-350";"heidi1977@gmail.com"
"Dječji vrtić ""Dječji put""";"Vladimira Nazora 6";"49250";"Zlatar";"Krapinsko-zagorska županija ";"091 4332 155; 01 4692 298";"erdelja.i@gmail.com "
"DV ""DUDA""";"Hrastovljan 92, 42232 Martijanec";"42230";"Martijanec";"Varaždinska županija ";"042 456 789";"djecjivrticduda@gmail.com"
"OŠ Dragutina Lermana-Brestovac";"Požeška 45";"34000";"Brestovac";"Požeško-slavonska županija ";"034 241 004;  mob:099 241 0040";"ured@os-dlermana-brestovac.skole.hr"
"Dječji vrtić KOCKICA";"Pristav 121";"52232";"Kršan";"Istarska županija ";"052 383 241";"kockica.krsan@gmail.com"
"PLESNI STUDIO ""SAMSAMI""";"Dalmatinska15";"10000";"Zagreb";"Grad Zagreb";"01 4848 735 ; 098 205 153 ";"samsa.zg@gmail.com"
"SPORTSKO DRUŠTVO REKREACIJE ROLICA";"Dragutina Golika 34";"10000";"Zagreb";"Grad Zagreb";"0958136014";"rolicasanja@gmail.com"
"Dječji vrtić ""HIŽICA""";"Vlatka Mačeka 22";"40000";"Čakovec";"Međimurska županija ";"098 988 3709";"sanja.posedi@gmail.com"
"Dječji vrtić ""LEPTIRIĆ""";"Zagrebačka 22 A";"42220";"Ljubešćica";"Varaždinska županija ";"042 623 888";"opcina.ljubescica@gmail.com"
"Dječji vrtić ""POTJEH""";"Moslavačka 42";"35000";"Slavonski Brod";"Brodsko-posavska županija ";"0358901435";"dvpotjeh@gmail.com"
"Dječji vrtić""VESELA LOPTICA""";"Ulica Dragutina Antoleka Orešeka 2a";"40323";"Prelog";"Međimurska županija ";"040 629875 / 091 4932 842";"loptica@vrtic.loptica.eu"
"Dječji vrtić Lastavica";"Zagrebačka 24";"31000";"Osijek";"Osječko-baranjska županija ";"091 792 8432";"lastavica.osijek@gmail.com"
"Dječji vrtić ""Ježić""";"Varaždinska ulica 33";"42204";"Črešnjevo";"Varaždinska županija ";"042 731 385 ; 099 8351 266";"dvjezic@gmail.com"
"Udruga LITTERA Centar za neuroedukaciju i razvoj";"Šmidhenova 20";"10430";"Samobor";"Zagrebačka županija ";"01 33 63 170  ; 091 33 63 170";"info@littera.hr"
"Dječji vrtić Škrinjica";"Radoboj 48/A";"49232";"Radoboj";"Krapinsko-zagorska županija ";"049/ 490 321";"skrinjica.radoboj@gmail.com"
"Dječji vrtić Dječji grad";"Maksa Puša 1";"10430";"Samobor";"Zagrebačka županija ";"091 1638 420";"andrea.batarilo@dv-djecjigrad.com; andrea.batarilo@kindergarten.hr"
"Dječji vrtić Mudre glavice";"Ivana Lackovića Croate 13";"10020";"Odra";"Grad Zagreb";"01 5811 100   // 091 1910 993";"dvmudreglavice@yahoo.com"
"Sportsko rekreativna udruga ""Sport za tebe""";"Kutinska 4";"10000";"Zagreb";"Grad Zagreb";"098 160 8624 ; 091 1313 490  ";"outdoor@sport4you.hr ; mhorvat@skipper4you.com"
"Dječji vrtić ""Čarolija""";"Bikovec 91";"42243";"Maruševec";"Varaždinska županija ";"042 625 768 ;098 546 299";"carolija@dvcarolija.hr"
"Dječji vrtić Malo drvo";"Anina 2";"42000";"Varaždin";"Varaždinska županija ";"042 440 649";"malodrvo.vrtic@gmail.com"
"Poseban program predškolskog odgoja za djecu s teškoćama pri V. osnovnoj školi Bjelovar";"Šetalište dr. Ivše Lebovića 1";"43000";"Bjelovar";"Bjelovarsko-bilogorska županija ";"043/242-645";"skola@os-peta-bj.skole.hr"
"Dječji vrtić ""Kalnički jaglac""";"Trg Stjepana Radića 9";"48267";"Kalnik";"Koprivničko-križevačka županija ";"048857012";"ravnatelj@kalnicki-jaglac.com.hr"
"Društvo sportske rekreacije Svijet sporta";"Jurja ves 38";"10000";"Zagreb";"Grad Zagreb";"095/9061-137";"svijetsporta@svijetsporta.hr"
"Program predškole pri OŠ Barilović";"Barilović 96";"47252";"Barilović";"Karlovačka županija ";"047/847-191";"ured@os-barilovic.skole.hr"
"Dječji vrtić Sušak";"Braće Stipčić 32";"51000";"Rijeka";"Primorsko-goranska županija ";"051/499 021";"milena.vuletic@rivrtici.hr"
"Dječji vrtić More";"Marohnićeva 12";"51000";"Rijeka";"Primorsko-goranska županija ";"051/431 875; 051/554 977; 0989";"jasna.crncic@rivrtici.hr"
"Dječji vrtić ""Čarobni park"" Drnje";"Trg kralja Tomislava 26";"48316";"Drnje";"Koprivničko-križevačka županija ";"048/733 159";"carobni.park@gmail.com"
"Interkulturna osnovna škola ""Dunav""";"Blage Zadre 3";"32000";"Vukovar";"Vukovarsko-srijemska  županija ";"098/346 706";"dunav.vukovar@gmail.com"
"Dječji vrtić Svetog Nikole";"Braće Radića 129";"40000";"Belica";"Međimurska županija ";"097/6242558";"dv-svetinikola@biskupija-varazdinska.hr"
"Program predškole pri OŠ Lipovac u Lipovcu";"Cvjetno naselje 8";"32245";"Lipovac";"Vukovarsko-srijemska  županija ";"032/ 270 060";"ured@os-lipovac.skole.hr"
"Udruga za sport i rekreaciju ""Balonko""";"Višnje Stahuljak 7";"10000";"Zagreb";"Grad Zagreb";"098/9625 329";"balonko.sport@gmail.com"
"Društvo sportske rekreacije ""Pandice""";"Božidara Magovca 47";"10000";"Zagreb";"Grad Zagreb";"01/8889856  Ludvik Leutar";"info@sportskepandice.hr"
"Kreativna udruga Boje zvuka";"Fallerovo šetalište 35";"10000";"Zagreb";"Grad Zagreb";"091/798 04 79";"marija.cikara@gmail.com"
"Društvo sportske rekreacije ""SUPERKID""";"Drežnik III. odvojak 21, ";"10257";"Hudi Bitek";"Grad Zagreb";"0995176644";"info@superkid.hr"
"Program predškolskog odgoja pri Osnovnoj školi Jasenovac";"Trg Petra Svačića 6";"44324";"Jasenovac";"Sisačko-moslavačka županija ";"044/672 096";"os-jasenovac@os-jasenovac.skole.hr"
"Dječji vrtić „Morski konjić“ – Scuola materna „Cavalluccio marino“";"Brajde 31A       ";"52465";"Tar";"Istarska županija ";"052/894-5934";" info@dvmorskikonjic.hr"
"Program predškole pri OŠ Stjepana Antolovića";"Školska 40";"32251";"Privlaka";"Vukovarsko-srijemska  županija ";"032/398 295";"ured@os-santolovica-privlaka.skole.hr"
"Program predškolskog odgoja pri Osnovnoj školi Ivo Kozarčanin Hrvatska Dubca";"Park žrtava Domovinskog rata 1";"44450";"Hrvatska Dubica";"Sisačko-moslavačka županija ";"44 525 540, 525 541";"ured@os-ikozarcanin-hrvatskadubica.skole.hr"
"Dječji vrtić PČELICA Bisag";"Bisag 24";"42225";"Bisag";"Varaždinska županija ";"042/616-370";"vrtic@breznica.hr"
"Dječji vrtić Suncokret";"Josipa Horvata Zdelara 2a";"40000";"Strahoninec";"Međimurska županija ";"040/333-442";"info@dvsuncokret.hr"
"Tjelovježbeno društvo ""GIMGO""";"Pavla Sokolića 17";"10000";"Zagreb";"Grad Zagreb";"091/518 3327";"gimgokids@gmail.com"
"Atletski klub „Kvarner“ Rijeka";"Portić 1";"51000";"Rijeka";"Primorsko-goranska županija ";"051/261-110";"akkvarner@akkvarner.hr"
"TKD Invictus";"Belinin put 13";"10000";"Zagreb";"Grad Zagreb";"0981641729";"invictus.zg@gmail.com"
"Dječji vrtić Planet mašte";"Dragutina Tadijanovića 1";"51000";"Rijeka";"Primorsko-goranska županija ";"051/246-726";"info@planetmaste.com; sanja.mrgansimic@gmail.com"
"Dječji vrtić ""Snježna pahulja""";"Donje selo 29a";"51322";"Fužine";"Primorsko-goranska županija ";"0916229279";"dv.snjezna.pahulja@gmail.com"
"Dječji vrtić ""Krijesnica""";"Oderjan 40";"48350";"Kloštar Podravski";"Koprivničko-križevačka županija ";"048/816066";"opcina-klostar-podravski@klostarpodravski.hr"
"Dječji vrtić ""Mali medo""";"Dr. Franje Tuđmana 15";"53244";"Lovinac";"Ličko-senjska županija ";"053 667 290";"vrtic@lovinac.hr"
"Program predškole pri Osnovnoj školi Podturen";"Čakovečka 5";"40000";"Podturen";"Međimurska županija ";"040/847 470; 040/847 477";"ured@os-podturen.skole.hr"
"Centar za autizam";"Vinkovačka 3";"31000";"Osijek";"Osječko-baranjska županija ";"031/201 850";"ured@centar-autizam-os.skole.hr"
"Obrt za usluge MALA GLAZBENA ŠKOLICA - TON";"Harina Zlaka 5";"49296";"Zagorska Sela";"Krapinsko-zagorska županija ";"098/169 75 03";"ton.skolica@gmail.com"
"Športska udruga HDL KAMELEON";"Savska opatovina 123";"10000";"Zagreb";"Grad Zagreb";"098 489 384         ";"hdl.kameleon@gmail.com"
"SPORTSKO DRUŠTVO KU-KU-RI-KU";"HUM ZABOČKI 29a";"49210";"Hum Zabočki";"Krapinsko-zagorska županija ";"099 678 6686        ";"mislav.kukuriku@gmail.com"
"Dječji vrtić Bambi Rokovci-Andrijaševci";"Matije Gupca 8";"32271";"Andrijaševci";"Vukovarsko-srijemska  županija ";"0981861755";"bambi@andrijasevci.hr"
"PO pri OŠ Josipdol, Područna škola „Lucija Capan“  ";"Zdenac 45";"47300";"Tounj";"Karlovačka županija ";"047/563-106 (PŠ Tounj), 095/22";"ured@os-josipdol.skole.hr "
"Dječji vrtić Videk";"Pavla Beluhana  2a";"10291";"Prigorje Brdovečko";"Zagrebačka županija ";"015601012";"info@dv-videk.hr"
"Centar za odgoj, obrazovanje i rehabilitaciju Virovitica";"Nikole Tesle 4";"33000";"Virovitica";"Virovitičko-podravska županija ";"033721854";"tajnistvo@coorvirovitica.hr"
"Udruga za poticanje ranog učenja stranih jezika i glazbe ULICA ZNANJA ";"Josipa Jelačića 155";"10430";"Samobor";"Zagrebačka županija ";"0981776094";"ulica.znanja@gmail.com"
"HRVATSKI NOGOMETNI KLUB GORICA";"Hrvatske bratske zajednice 80 ";"10410";"Velika Gorica";"Zagrebačka županija ";"01 6265 152,  098 230 260,  Ne";"info@hnk-gorica.hr "
"Muški rukometni klub Metalac";"Slovenska 20";"10000";"Zagreb";"Grad Zagreb";"099/3707875             ";"info@rukometalac.com"
"DJEČJI VRTIĆ BUBAMARA GORNJE BAZJE";"GORNJE 131A";"33406";"Gornje Bazje";"Virovitičko-podravska županija ";" 033/551-041";"dv-bubamara@opcina-lukac.hr"
"Sportsko rekreativno društvo Feniks sportaš";"Nehajska ulica 67";"10000";"Zagreb";"Grad Zagreb";"099 66 88 666           ";"goran.skoric666@gmail.com"
"Dječji vrtić ""Ježeva kućica - Beretinec""";"Trg hrvatskih branitelja 1";"42204";"Beretinec";"Varaždinska županija ";"042 550-442";"dvjezevakucica@gmail.com"
"Dječji vrtić ""Prugi i prijatelji""";"Bana Josipa Jelačića 22h";"40000";"Čakovec";"Međimurska županija ";"098 1745 138";"prugi@simva.hr; simon.ana27@gmail.com"
"Judo klub ""Lika""";"Trg žrtava fašizma 3";"10000";"Zagreb";"Grad Zagreb";"01 6601148";"judo.klub.lika@zg.t-com.hr"
"Društvo PLANET ZNANJA";"Velikopoljska 9F";"10010";"Veliko Polje";"Grad Zagreb";"099 301 3004, 099 3399 837";"planet.znanja.hr@gmail.com"
